combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,race_code,return,stake,train_pair_count
3-4-1,0.00567428123872074,2026-08-03,0.38471626798526615,0,0.03955006404473671,3直まくりv29,67.8,0.06583009000695544,202608032103,0,600,22
3-4-5,0.0051261590394713445,2026-08-03,0.6843422317694245,0,0.020086099941821343,3直まくりv29,133.5,0.059471058405706705,202608032103,0,500,20
3-1-2,0.00506021636789178,2026-08-03,0.12043314955582436,0,0.1126678295055945,3直まくりv29,23.8,0.05870602547505828,202608032103,0,500,19
3-5-2,0.0048997326731948405,2026-08-03,0.3890387742516704,0,0.03377196904575754,3直まくりv29,79.4,0.056844176260666845,202608032103,0,500,19
3-2-6,0.002820426521461593,2026-08-03,0.6543389529790896,0,0.011558165268246332,3直まくりv29,232.0,0.03272113664349844,202608032103,0,400,11
3-1-5,0.007836292735807725,2026-08-04,0.8376996934578459,0,0.06348864799849857,3まくり差しv29,106.9,0.20218490488885185,202608040608,0,700,65
3-1-4,0.006368378250426161,2026-08-04,0.27957180519370844,0,0.154599919613656,3まくり差しv29,43.9,0.16431110912626312,202608040608,0,600,52
3-1-2,0.005805114550298883,2026-08-04,0.5967657757707252,0,0.06602078279221302,3まくり差しv29,102.8,0.1497782909331411,202608040608,0,600,48
3-1-6,0.003625632890112837,2026-08-04,0.637748825370848,0,0.03858406180238486,3まくり差しv29,175.9,0.09354528547660211,202608040608,0,400,30
3-4-1,0.001900308881583828,2026-08-04,0.11648893444108864,0,0.11071674504142738,3まくり差しv29,61.3,0.04903004308744266,202608040608,0,300,15
3-2-4,0.0017466577367353465,2026-08-04,0.15772319362720177,0,0.07515987232601881,3まくり差しv29,90.3,0.045065675859901705,202608040608,0,200,14
3-2-1,0.0015881436997580898,2026-08-04,0.31222905137244045,0,0.03452154868280518,3まくり差しv29,196.6,0.04097584070821742,202608040608,0,200,13
3-2-5,0.0013537536851538153,2026-08-04,0.23203338163536394,0,0.039597062258106754,3まくり差しv29,171.4,0.03492832252489153,202608040608,0,200,11
3-2-6,0.0013391811826782467,2026-08-04,0.3729619593758917,0,0.02436961030893895,3まくり差しv29,278.5,0.03455233605701085,202608040608,0,200,11
3-4-2,0.0012652586833919158,2026-08-04,0.11906084210717927,0,0.07212472339043037,3まくり差しv29,94.1,0.032645054898529154,202608040608,0,200,10
3-5-1,0.000999747443191328,2026-08-04,0.15186163662076274,0,0.04468029276523698,3まくり差しv29,151.9,0.025794575130005857,202608040608,0,200,8
3-5-2,0.0009982795719988508,2026-08-04,0.15702937667541925,0,0.043146449275521276,3まくり差しv29,157.3,0.025756702451247445,202608040608,0,200,8
3-5-4,0.0009846744184523772,2026-08-04,0.23100461856892768,0,0.028929822979708007,3まくり差しv29,234.6,0.025405674641474273,202608040608,0,200,8
3-6-1,0.0008616548261295668,2026-08-04,0.23040650050704614,0,0.025381213429467083,3まくり差しv29,267.4,0.02223163489949302,202608040608,0,200,7
3-4-6,0.0005154189683288453,2026-08-04,0.09066219652904389,0,0.03858406180238486,3まくり差しv29,175.9,0.013298371896355183,202608040608,0,100,4
3-6-4,0.0005057044321657825,2026-08-04,0.12071164795797228,0,0.02843291357787808,3まくり差しv29,238.7,0.013047726261182176,202608040608,0,100,4
3-4-5,0.00040112863062972905,2026-08-04,0.06165347052778935,0,0.04415703624619062,3まくり差しv29,153.7,0.010349556450523227,202608040608,0,100,3
3-5-6,0.000377327850090201,2026-08-04,0.13278167044674172,0,0.01928654865313867,3まくり差しv29,351.9,0.009735470337114537,202608040608,0,100,3
3-6-2,0.0002688778034983904,2026-08-04,0.05893801452684717,0,0.030962301418975813,3まくり差しv29,219.2,0.006937340775777181,202608040608,0,100,2
3-6-5,1.6514169491670527e-05,2026-08-04,0.006495022861074018,0,0.01725638563701881,3まくり差しv29,393.3,0.0004260835959757731,202608040608,0,100,0
3-1-5,0.009059932604978619,2026-08-04,1.475863021351017,0,0.07385715742768938,3まくり差しv29,162.9,0.20244091746735035,202608040612,0,700,65
3-1-4,0.007385321221177545,2026-08-04,0.48447707210924695,0,0.18340443513674695,3まくり差しv29,65.6,0.16502233173177153,202608040612,0,600,52
3-1-2,0.00684320244427392,2026-08-04,0.4270158325226926,0,0.19280979078478527,3まくり差しv29,62.4,0.15290888372308112,202608040612,0,600,48
3-1-6,0.004227088657503469,2026-08-04,0.6750660586033039,0,0.07533707542248341,3まくり差しv29,159.7,0.09445276729438232,202608040612,0,400,30
3-4-1,0.0021596169756510236,2026-08-04,0.32739793350869517,0,0.07936234132566358,3まくり差しv29,151.6,0.04825586027964602,202608040612,0,300,15
3-2-4,0.001982959274175835,2026-08-04,0.5361921877371457,0,0.04449456710418121,3まくり差しv29,270.4,0.04430850782973287,202608040612,0,200,14
3-2-1,0.0018739151055289195,2026-08-04,0.31837817642936345,0,0.07081419037651912,3まくり差しv29,169.9,0.04187195531793875,202608040612,0,200,13
3-2-6,0.0015449160421098585,2026-08-04,0.8052102411476583,0,0.02308390434568419,3まくり差しv29,521.2,0.03452059023075763,202608040612,0,200,11
