phase,method,grade,ev_threshold,odds_races,bet_races,bet_race_pct,tickets,avg_tickets_bet,hits,hit_rate_bet_pct,roi_pct,avg_selected_model_ev,fixed7_hits,fixed7_hit_pct,fixed7_roi_pct,point_hist,selected
HOLDOUT,PLATT,S,1.75,1059,659,62.228517469310674,1793,2.7207890743550833,35,5.311077389984826,54.02677077523703,2.294850785158652,538,50.80264400377715,78.88304330230676,0:400;1:214;2:154;3:111;4:88;5:39;6:23;7:15;8:7;10:4;12:1;13:2;14:1,0
HOLDOUT,PLATT,S,2.0,1059,499,47.11992445703494,1104,2.212424849699399,15,3.006012024048096,40.778985507246375,2.5659829894055664,538,50.80264400377715,78.88304330230676,0:560;1:226;2:116;3:76;4:39;5:20;6:13;7:2;8:2;10:3;12:2,0
HOLDOUT,ISOTONIC,A,1.0,1696,1689,99.5872641509434,13211,7.821788040260509,457,27.057430432208406,82.33290439785027,1.5324091344557655,826,48.70283018867924,80.60141509433963,0:7;1:25;2:44;3:59;4:107;5:155;6:208;7:238;8:207;9:184;10:130;11:113;12:78;13:53;14:37;15:29;16:12;17:3;18:5;19:2,0
HOLDOUT,ISOTONIC,A,1.05,1696,1681,99.11556603773585,12028,7.1552647233789415,400,23.79535990481856,79.86614566012638,1.5823673848361242,826,48.70283018867924,80.60141509433963,0:15;1:36;2:66;3:93;4:137;5:189;6:222;7:241;8:190;9:150;10:118;11:73;12:62;13:43;14:34;15:11;16:6;17:5;18:4;19:1,0
HOLDOUT,ISOTONIC,A,1.1,1696,1672,98.58490566037736,10914,6.527511961722488,362,21.650717703349283,82.78907824812168,1.6341493081225997,826,48.70283018867924,80.60141509433963,0:24;1:50;2:102;3:115;4:180;5:206;6:237;7:206;8:168;9:152;10:83;11:54;12:53;13:32;14:18;15:5;16:5;17:3;18:2;19:1,0
HOLDOUT,ISOTONIC,A,1.15,1696,1648,97.16981132075472,9912,6.014563106796117,328,19.902912621359224,84.1000807102502,1.6857049520223608,826,48.70283018867924,80.60141509433963,0:48;1:62;2:126;3:157;4:212;5:201;6:234;7:196;8:154;9:105;10:67;11:51;12:40;13:24;14:6;15:4;16:3;17:3;18:2;19:1,0
HOLDOUT,ISOTONIC,A,1.2,1696,1628,95.99056603773585,8986,5.519656019656019,285,17.506142506142506,82.53505452926775,1.7383099475159232,826,48.70283018867924,80.60141509433963,0:68;1:96;2:152;3:194;4:221;5:200;6:217;7:174;8:141;9:76;10:66;11:35;12:24;13:16;14:6;15:4;16:2;17:2;18:1;19:1,0
HOLDOUT,ISOTONIC,A,1.25,1696,1600,94.33962264150944,8171,5.106875,260,16.25,81.51633826948967,1.78953999337833,826,48.70283018867924,80.60141509433963,0:96;1:122;2:177;3:225;4:223;5:210;6:196;7:140;8:126;9:63;10:49;11:27;12:19;13:9;14:5;15:4;16:2;17:2;19:1,0
HOLDOUT,ISOTONIC,A,1.3,1696,1570,92.57075471698113,7386,4.704458598726115,226,14.394904458598726,81.55158407798538,1.8443841391496587,826,48.70283018867924,80.60141509433963,0:126;1:163;2:205;3:237;4:222;5:210;6:167;7:127;8:95;9:56;10:34;11:21;12:16;13:6;14:3;15:5;16:1;17:1;18:1,0
HOLDOUT,ISOTONIC,A,1.4,1696,1485,87.55896226415095,6064,4.083501683501684,172,11.582491582491583,79.28759894459102,1.9522206068722288,826,48.70283018867924,80.60141509433963,0:211;1:227;2:236;3:256;4:204;5:190;6:130;7:95;8:60;9:38;10:17;11:13;12:5;13:8;14:4;15:1;16:1,0
HOLDOUT,ISOTONIC,A,1.5,1696,1382,81.48584905660377,5008,3.6237337192474675,137,9.913169319826338,73.95567092651757,2.05873225336731,826,48.70283018867924,80.60141509433963,0:314;1:258;2:285;3:215;4:207;5:162;6:103;7:62;8:45;9:12;10:11;11:9;12:6;13:3;14:3;15:1,0
HOLDOUT,ISOTONIC,A,1.75,1696,1109,65.38915094339623,3174,2.862037871956718,65,5.861136158701533,59.987397605545056,2.313597824483836,826,48.70283018867924,80.60141509433963,0:587;1:321;2:264;3:192;4:136;5:101;6:41;7:23;8:12;9:9;10:2;11:3;12:2;13:3,0
HOLDOUT,ISOTONIC,A,2.0,1696,865,51.00235849056604,1968,2.2751445086705204,30,3.468208092485549,49.90345528455285,2.5872946225154867,826,48.70283018867924,80.60141509433963,0:831;1:383;2:202;3:123;4:73;5:41;6:19;7:8;8:8;9:2;10:4;11:1;12:1,1
HOLDOUT,ISOTONIC,S,1.0,1059,1055,99.6222851746931,8011,7.593364928909953,297,28.151658767772513,74.81213331668955,1.524807646019411,538,50.80264400377715,78.88304330230676,0:4;1:7;2:26;3:42;4:63;5:108;6:146;7:160;8:145;9:106;10:84;11:65;12:43;13:27;14:15;15:7;16:4;17:4;18:2;19:1,0
HOLDOUT,ISOTONIC,S,1.05,1059,1051,99.24457034938621,7293,6.939105613701237,266,25.309229305423408,75.67393390922803,1.5739766436115663,538,50.80264400377715,78.88304330230676,0:8;1:19;2:31;3:64;4:87;5:146;6:139;7:155;8:128;9:101;10:64;11:48;12:27;13:17;14:12;15:7;16:1;17:3;18:1;19:1,0
HOLDOUT,ISOTONIC,S,1.1,1059,1049,99.05571293673276,6623,6.313632030505243,236,22.4976167778837,74.20806281141476,1.6245349799932192,538,50.80264400377715,78.88304330230676,0:10;1:33;2:53;3:91;4:110;5:147;6:153;7:149;8:92;9:81;10:51;11:40;12:15;13:18;14:8;15:2;16:1;17:3;18:1;19:1,0
HOLDOUT,ISOTONIC,S,1.15,1059,1039,98.11142587346554,5973,5.748796920115495,214,20.59672762271415,74.43663150845471,1.6788731133929353,538,50.80264400377715,78.88304330230676,0:20;1:49;2:80;3:101;4:144;5:150;6:135;7:126;8:87;9:63;10:47;11:21;12:17;13:11;15:2;16:2;17:3;19:1,0
HOLDOUT,ISOTONIC,S,1.2,1059,1028,97.07271010387157,5434,5.285992217898833,187,18.19066147859922,73.76702245123298,1.7288863531751715,538,50.80264400377715,78.88304330230676,0:31;1:71;2:91;3:129;4:154;5:134;6:147;7:104;8:68;9:53;10:34;11:18;12:11;13:6;14:1;15:1;16:3;17:2;18:1,0
HOLDOUT,ISOTONIC,S,1.25,1059,1017,96.03399433427762,4916,4.833824975417896,168,16.519174041297934,75.54109031733117,1.7821013629616442,538,50.80264400377715,78.88304330230676,0:42;1:97;2:109;3:156;4:147;5:129;6:132;7:91;8:62;9:39;10:26;11:12;12:6;13:3;14:3;15:2;16:2;17:1,0
HOLDOUT,ISOTONIC,S,1.3,1059,993,93.76770538243626,4453,4.484390735146022,136,13.695871097683787,70.75454749607006,1.8349012862653384,538,50.80264400377715,78.88304330230676,0:66;1:106;2:147;3:149;4:147;5:134;6:115;7:77;8:43;9:32;10:22;11:7;12:6;13:2;14:1;15:2;16:3,0
HOLDOUT,ISOTONIC,S,1.4,1059,934,88.19641170915959,3626,3.8822269807280514,114,12.205567451820128,74.95863210148924,1.9457137453578695,538,50.80264400377715,78.88304330230676,0:125;1:144;2:166;3:164;4:143;5:104;6:100;7:41;8:32;9:18;10:7;11:7;12:1;13:1;14:1;15:5,0
HOLDOUT,ISOTONIC,S,1.5,1059,869,82.05854579792256,3003,3.4556962025316458,85,9.781357882623706,68.58807858807859,2.049112129793109,538,50.80264400377715,78.88304330230676,0:190;1:165;2:191;3:148;4:130;5:93;6:69;7:30;8:22;9:10;10:3;12:2;13:2;14:3;15:1,0
HOLDOUT,ISOTONIC,S,1.75,1059,679,64.11709159584514,1884,2.7746686303387333,38,5.596465390279823,57.41507430997877,2.307236796135516,538,50.80264400377715,78.88304330230676,0:380;1:193;2:185;3:106;4:90;5:53;6:26;7:11;8:8;9:1;10:1;11:2;13:2;14:1,0
