target,maxn,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct,avg_n,avg_comp_odds
5.5,6,3.5,2026-06,15,54560.00000000001,-95440.0,36.37333333333334,33.33333333333333,6.666666666666667,3.466666666666667,5.185428940831956
5.5,6,4.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.5,5.579673702101962
5.5,6,4.0,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.5,5.244458223957941
5.5,6,4.0,2026-06,15,54560.00000000001,-95440.0,36.37333333333334,33.33333333333333,6.666666666666667,3.466666666666667,5.185428940831956
5.5,6,4.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.5,5.579673702101962
5.5,6,4.5,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.5,5.244458223957941
5.5,6,4.5,2026-06,13,54560.00000000001,-75440.0,41.969230769230776,38.46153846153847,7.6923076923076925,3.6153846153846154,5.325192831023534
5.5,6,5.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.5,5.579673702101962
5.5,6,5.0,2026-05,5,104390.0,54390.0,208.78,40.0,40.0,3.6,5.31523666120236
5.5,6,5.0,2026-06,11,54560.00000000001,-55439.99999999999,49.60000000000001,36.36363636363637,9.090909090909092,3.6363636363636362,5.454297268656204
5.5,6,5.5,2026-04,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541
5.5,6,5.5,2026-05,1,0.0,-10000.0,0.0,0.0,0.0,2.0,5.897260273972603
5.5,6,5.5,2026-06,3,0.0,-30000.0,0.0,33.33333333333333,0.0,3.6666666666666665,5.7842144978952605
5.5,6,6.0,2026-04,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541
5.5,6,6.0,2026-05,0,0.0,0.0,,,,,
5.5,6,6.0,2026-06,0,0.0,0.0,,,,,
5.5,6,6.5,2026-04,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319
5.5,6,6.5,2026-05,0,0.0,0.0,,,,,
5.5,6,6.5,2026-06,0,0.0,0.0,,,,,
