feature,coverage,auc,auc_abs,mean_head,mean_loss
b6_gh_p12_overall,1.0,0.5105043087034193,0.5105043087034193,0.4914023596273818,0.48465039836207285
b3_vh_p12_turn,1.0,0.48958531701007735,0.5104146829899227,0.4936417241092933,0.5010739382829209
b3_vh_p1_straight,1.0,0.48967648208844516,0.5103235179115548,0.49281136418417376,0.5038079283878245
b2_vh_p2_display,1.0,0.4897213308919007,0.5102786691080994,0.5016651440910223,0.5122161116203279
b1_vh_has1,1.0,0.5101932132126327,0.5101932132126327,0.9085624117598207,0.8881759853345554
b4_meet_st_strength,1.0,0.48985819903664685,0.5101418009633532,0.4816533095257869,0.4919126466827353
rel_gh_delta_turn_1v5,1.0,0.48987243393267993,0.5101275660673201,0.0028977382830883383,0.016074277760803883
b4_gh_p1_display,1.0,0.49006630509692417,0.5099336949030758,0.48334302245107,0.4948636996299691
b3_gh_p12_turn,1.0,0.4900736382251837,0.5099263617748163,0.4930051490739972,0.5003790270563873
rel_gh_delta_turn_1v6,1.0,0.4900856232802514,0.5099143767197486,-0.002802231265398776,0.011628814882710392
rel_gh_delta_turn_1vavg,1.0,0.4901163682874293,0.5098836317125707,-0.0024625584807463395,0.008100790983467427
b2_gh_p2_straight,1.0,0.4901320114485779,0.5098679885514221,0.4984083786176635,0.5101581606317322
b6_vh_p12_turn,1.0,0.5098611036997459,0.5098611036997459,0.48978448633834404,0.4822380079437824
b2_vh_p2_straight,1.0,0.4901882363275917,0.5098117636724083,0.49963301008895233,0.5111854791506488
b4_gh_p12_display,1.0,0.49021660462307304,0.509783395376927,0.4875010381197575,0.4964578877686118
b6_gh_p1_overall,1.0,0.5097105758062811,0.5097105758062811,0.4862444231479139,0.47859348952539155
b1_gh_delta_overall,1.0,0.4903888950759515,0.5096111049240485,-0.013663114859063678,-0.0056290000647776705
b6_pl_all_win,1.0,0.5095871771041568,0.5095871771041568,0.13053664671948131,0.12834755456496427
b3_vh_p2_straight,1.0,0.490530427834579,0.509469572165421,0.4962594833951034,0.5071021384495262
b3_gh_p2_turn,1.0,0.49055148414692273,0.5094485158530773,0.4981708329872934,0.5064840275656042
b6_grade,1.0,0.5093755228924322,0.5093755228924322,0.5651117016859064,0.5551003157144312
b3_vh_p1_overall,1.0,0.4906618616830084,0.5093381383169916,0.490082735210165,0.49835974166231684
b3_gh_p2_straight,1.0,0.49070687541841446,0.5092931245815855,0.4966600429809465,0.5070377868728007
b6_vh_p12_overall,1.0,0.5092348401677032,0.5092348401677032,0.49159967970823115,0.4853859185674102
