grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,final_odds_races,final_odds_coverage_pct,avg_final_composite_odds,median_final_composite_odds
A,5頭展開,6,911,99,10.867178924259056,59,6.476399560922063,59.5959595959596,87.03622392974754,8063.389830508475,909,99.78046103183316,24.667632464073325,16.543969708499233
A,5頭展開,7,911,99,10.867178924259056,66,7.244785949506038,66.66666666666667,92.65485337933197,8952.424242424242,909,99.78046103183316,21.954098364292246,15.104979165335479
A,5頭展開,8,911,99,10.867178924259056,67,7.3545554335894625,67.67676767676768,83.39050493962678,9070.89552238806,909,99.78046103183316,19.82918400078597,13.93257825739615
A,5頭展開,9,911,99,10.867178924259056,71,7.793633369923161,71.71717171717172,80.30613489449932,9273.661971830987,909,99.78046103183316,18.127909204141794,13.044585612778798
A,5頭展開,10,911,99,10.867178924259056,78,8.562019758507136,78.78787878787878,81.66190998902306,9537.692307692309,909,99.78046103183316,16.72359725356342,12.14823649664071
A,5頭展開,11,911,99,10.867178924259056,80,8.781558726673985,80.8080808080808,80.40714499550943,10072,909,99.78046103183316,15.746566118703793,11.506224469769363
A,5頭展開,12,911,99,10.867178924259056,82,9.001097694840833,82.82828282828282,78.20801317233808,10426.463414634147,909,99.78046103183316,14.894953218403499,11.014250708071435
A,5頭展開,13,911,99,10.867178924259056,87,9.549945115257959,87.87878787878788,88.60930507472769,12062.068965517241,909,99.78046103183316,14.23949881940161,10.78743578385071
A,5頭展開,14,911,99,10.867178924259056,88,9.659714599341383,88.88888888888889,88.17939469970206,12780,909,99.78046103183316,13.55232372137072,10.303949683862372
A,5頭展開,15,911,99,10.867178924259056,93,10.208562019758507,93.93939393939394,89.3523600439078,13129.032258064517,909,99.78046103183316,13.019283381713233,9.940039698519396
A,5頭展開,16,911,99,10.867178924259056,95,10.428100987925356,95.95959595959596,85.8397365532382,13170.526315789473,909,99.78046103183316,12.614198019010583,9.680905176277783
A,5頭展開,17,911,99,10.867178924259056,96,10.537870472008782,96.96969696969697,82.12048815135275,13247.916666666666,909,99.78046103183316,12.188000097318696,9.44954331137881
A,5頭展開,18,911,99,10.867178924259056,96,10.537870472008782,96.96969696969697,77.55823880961093,13247.916666666666,909,99.78046103183316,11.885985336877646,9.286349730632315
A,5頭展開,19,911,99,10.867178924259056,96,10.537870472008782,96.96969696969697,73.47622624068404,13247.916666666666,909,99.78046103183316,11.611202006548,9.140624731963339
A,5頭展開,20,911,99,10.867178924259056,99,10.867178924259056,100.0,75.94511525795829,13976.969696969696,909,99.78046103183316,11.382060233042807,8.991432012241068
S,3まくり,1,301,121,40.199335548172755,20,6.644518272425249,16.52892561983471,106.61129568106313,1604.5,301,100.0,20.02890365448505,15.200000000000001
S,3まくり,2,301,121,40.199335548172755,36,11.960132890365449,29.75206611570248,90.68106312292359,1516.388888888889,301,100.0,10.10660732600611,8.177995110024451
S,3まくり,3,301,121,40.199335548172755,49,16.27906976744186,40.49586776859504,85.5703211517165,1576.938775510204,301,100.0,6.827309456965504,5.74947208379086
S,3まくり,4,301,121,40.199335548172755,54,17.940199335548172,44.62809917355372,75.9468438538206,1693.3333333333333,301,100.0,5.691720712529579,4.731537903334824
S,3まくり,5,301,121,40.199335548172755,62,20.59800664451827,51.239669421487605,69.51495016611295,1687.4193548387098,301,100.0,4.795552050195336,4.069803823309547
S,3まくり,6,301,121,40.199335548172755,72,23.920265780730897,59.50413223140496,70.73643410852713,1774.3055555555557,301,100.0,4.172607845400134,3.550240533904426
S,3まくり,7,301,121,40.199335548172755,82,27.242524916943523,67.76859504132231,83.87280493592786,2155.121951219512,301,100.0,3.825368128548251,3.248979874871922
S,3まくり,8,301,121,40.199335548172755,86,28.571428571428573,71.07438016528926,77.0390365448505,2157.093023255814,301,100.0,3.53137763427784,2.9867116869622388
S,3まくり,9,301,121,40.199335548172755,93,30.897009966777407,76.85950413223141,80.265780730897,2338.064516129032,301,100.0,3.2936202867753233,2.699792552572777
S,3まくり,10,301,121,40.199335548172755,96,31.893687707641195,79.33884297520662,74.10631229235881,2323.5416666666665,301,100.0,3.088522169035975,2.593494145679628
S,3まくり,11,301,121,40.199335548172755,100,33.222591362126245,82.64462809917356,76.7109634551495,2539.9,301,100.0,2.9684060205777754,2.4581501585651995
S,3まくり,12,301,121,40.199335548172755,102,33.88704318936877,84.29752066115702,72.22591362126246,2557.6470588235293,301,100.0,2.863553322588119,2.376860168847185
S,3まくり,13,301,121,40.199335548172755,106,35.21594684385382,87.60330578512396,75.95706618962433,2803.9622641509436,301,100.0,2.789559136956986,2.3284818835080885
S,3まくり,14,301,121,40.199335548172755,110,36.54485049833887,90.9090909090909,74.2453725676317,2844.2727272727275,301,100.0,2.7065621945018123,2.250940809029691
S,3まくり,15,301,121,40.199335548172755,112,37.2093023255814,92.56198347107438,72.8172757475083,2935.4464285714284,301,100.0,2.6385163997202126,2.206610945819395
S,3まくり,16,301,121,40.199335548172755,116,38.538205980066444,95.86776859504133,80.15573089700996,3327.844827586207,301,100.0,2.5926167205157595,2.179077609749972
S,3まくり,17,301,121,40.199335548172755,118,39.20265780730897,97.52066115702479,78.46394371702169,3402.5423728813557,301,100.0,2.546998232490112,2.1403574884599634
S,3まくり,18,301,121,40.199335548172755,119,39.53488372093023,98.34710743801652,75.48172757475083,3436.638655462185,301,100.0,2.514997041259692,2.1058243425393606
S,3まくり,19,301,121,40.199335548172755,120,39.8671096345515,99.17355371900827,71.95663577548522,3429.3333333333335,301,100.0,2.4854189820229586,2.0924313550543574
S,3まくり,20,301,121,40.199335548172755,121,40.199335548172755,100.0,69.17275747508306,3441.4876033057853,301,100.0,2.461962594663557,2.0832004850628913
S,3まくり差し,1,26,11,42.30769230769231,0,0.0,0.0,0.0,0,26,100.0,19.71923076923077,14.3
S,3まくり差し,2,26,11,42.30769230769231,2,7.6923076923076925,18.181818181818183,52.30769230769231,1360,26,100.0,10.806269877214818,7.702159127858666
S,3まくり差し,3,26,11,42.30769230769231,5,19.23076923076923,45.45454545454545,70.76923076923077,1104,26,100.0,7.41355203374985,6.256141815408292
S,3まくり差し,4,26,11,42.30769230769231,5,19.23076923076923,45.45454545454545,53.07692307692308,1104,26,100.0,5.845826809339845,4.132229739610424
S,3まくり差し,5,26,11,42.30769230769231,5,19.23076923076923,45.45454545454545,42.46153846153846,1104,26,100.0,4.700954077184242,3.780870154073958
S,3まくり差し,6,26,11,42.30769230769231,7,26.923076923076923,63.63636363636363,54.743589743589745,1220,26,100.0,4.17374335104837,3.3987530637352785
S,3まくり差し,7,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,54.67032967032967,1243.75,26,100.0,3.7871391070548093,2.9486264723680673
S,3まくり差し,8,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,47.83653846153846,1243.75,26,100.0,3.4302766189660496,2.775196116361711
S,3まくり差し,9,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,42.52136752136752,1243.75,26,100.0,3.0092920386555266,2.6329042733851433
S,3まくり差し,10,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,38.26923076923077,1243.75,26,100.0,2.8076398479581917,2.3983085380629214
S,3まくり差し,11,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,34.79020979020979,1243.75,26,100.0,2.614602668824922,2.1757995022289305
S,3まくり差し,12,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,31.891025641025642,1243.75,26,100.0,2.5186639336894383,2.0183406603799297
S,3まくり差し,13,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,29.437869822485208,1243.75,26,100.0,2.3701822735425737,1.8873839587515748
S,3まくり差し,14,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,27.335164835164836,1243.75,26,100.0,2.2751208250505193,1.8458034079233687
S,3まくり差し,15,26,11,42.30769230769231,10,38.46153846153846,90.9090909090909,37.717948717948715,1471,26,100.0,2.1745152086015573,1.8137486680124637
S,3まくり差し,16,26,11,42.30769230769231,10,38.46153846153846,90.9090909090909,35.36057692307692,1471,26,100.0,2.100670060689925,1.7826346459179443
S,3まくり差し,17,26,11,42.30769230769231,11,42.30769230769231,100.0,43.959276018099544,1766.3636363636363,26,100.0,2.0559334716328252,1.7664484037604324
S,3まくり差し,18,26,11,42.30769230769231,11,42.30769230769231,100.0,41.51709401709402,1766.3636363636363,26,100.0,2.0110009234715056,1.7523366234568467
S,3まくり差し,19,26,11,42.30769230769231,11,42.30769230769231,100.0,39.33198380566802,1766.3636363636363,26,100.0,1.9653252273953632,1.7402706438304998
S,3まくり差し,20,26,11,42.30769230769231,11,42.30769230769231,100.0,37.36538461538461,1766.3636363636363,26,100.0,1.9212663246229684,1.7161138765067157
S,4カドまくり,1,270,82,30.37037037037037,11,4.074074074074074,13.414634146341463,68.74074074074075,1687.2727272727273,269,99.62962962962963,22.730483271375466,17.8
S,4カドまくり,2,270,82,30.37037037037037,19,7.037037037037037,23.170731707317074,63.48148148148148,1804.2105263157894,269,99.62962962962963,12.393003888812304,9.885678391959798
S,4カドまくり,3,270,82,30.37037037037037,30,11.11111111111111,36.58536585365854,68.54320987654322,1850.6666666666667,269,99.62962962962963,8.39745511023233,6.897315634677332
S,4カドまくり,4,270,82,30.37037037037037,32,11.851851851851851,39.02439024390244,56.101851851851855,1893.4375,269,99.62962962962963,6.948042450929915,5.830231571691494
S,4カドまくり,5,270,82,30.37037037037037,36,13.333333333333334,43.90243902439025,60.77037037037037,2278.8888888888887,269,99.62962962962963,5.890381743945645,4.7020423919577405
S,4カドまくり,6,270,82,30.37037037037037,43,15.925925925925926,52.4390243902439,60.148148148148145,2266.046511627907,269,99.62962962962963,5.190110286010397,4.25511854491061
S,4カドまくり,7,270,82,30.37037037037037,52,19.25925925925926,63.41463414634146,79.88359788359789,2903.4615384615386,269,99.62962962962963,4.751129149971571,3.8824611722131426
S,4カドまくり,8,270,82,30.37037037037037,58,21.48148148148148,70.73170731707317,82.33796296296296,3066.3793103448274,269,99.62962962962963,4.382781002793613,3.616362732371246
S,4カドまくり,9,270,82,30.37037037037037,61,22.59259259259259,74.39024390243902,81.94650205761317,3264.4262295081967,269,99.62962962962963,4.096828034629852,3.284861950916187
S,4カドまくり,10,270,82,30.37037037037037,64,23.703703703703702,78.04878048780488,77.21111111111111,3257.34375,269,99.62962962962963,3.854112771055276,3.1072537452781783
S,4カドまくり,11,270,82,30.37037037037037,67,24.814814814814813,81.70731707317073,80.03030303030303,3547.6119402985073,269,99.62962962962963,3.6964152607574636,2.969284185552336
S,4カドまくり,12,270,82,30.37037037037037,68,25.185185185185187,82.92682926829268,74.66666666666667,3557.6470588235293,269,99.62962962962963,3.562854106937483,2.8885677820839093
S,4カドまくり,13,270,82,30.37037037037037,73,27.037037037037038,89.02439024390245,78.46438746438747,3772.7397260273974,269,99.62962962962963,3.453318651418763,2.764125378037372
S,4カドまくり,14,270,82,30.37037037037037,77,28.51851851851852,93.90243902439025,79.47619047619048,3901.5584415584417,269,99.62962962962963,3.3432752711070135,2.6753829872971
S,4カドまくり,15,270,82,30.37037037037037,78,28.88888888888889,95.1219512195122,75.0246913580247,3895.5128205128203,269,99.62962962962963,3.2544751785104906,2.5909258047194754
S,4カドまくり,16,270,82,30.37037037037037,79,29.25925925925926,96.34146341463415,71.21527777777777,3894.3037974683543,269,99.62962962962963,3.1871459984747097,2.5344235344984765
S,4カドまくり,17,270,82,30.37037037037037,80,29.62962962962963,97.5609756097561,68.35729847494554,3922,269,99.62962962962963,3.1210479478023148,2.5001549241922922
S,4カドまくり,18,270,82,30.37037037037037,82,30.37037037037037,100.0,67.97942386831275,4029.0243902439024,269,99.62962962962963,3.074337068500628,2.470525392941456
S,4カドまくり,19,270,82,30.37037037037037,82,30.37037037037037,100.0,64.40155945419103,4029.0243902439024,269,99.62962962962963,3.035859900264365,2.432990782972711
S,4カドまくり,20,270,82,30.37037037037037,82,30.37037037037037,100.0,61.181481481481484,4029.0243902439024,269,99.62962962962963,3.0041914036008754,2.3861412611032207
S,5頭展開,1,350,46,13.142857142857142,7,2.0,15.217391304347826,96.11428571428571,4805.714285714285,348,99.42857142857143,98.16350574712644,59.05
S,5頭展開,2,350,46,13.142857142857142,16,4.571428571428571,34.78260869565217,99.84285714285714,4368.125,348,99.42857142857143,52.56441228089701,33.51564141136688
S,5頭展開,3,350,46,13.142857142857142,21,6.0,45.65217391304348,78.84761904761905,3942.3809523809523,348,99.42857142857143,34.58156522050423,22.9687542648572
S,5頭展開,4,350,46,13.142857142857142,23,6.571428571428571,50.0,81.02857142857142,4932.173913043478,348,99.42857142857143,27.727271603082908,18.45854377704964
S,5頭展開,5,350,46,13.142857142857142,26,7.428571428571429,56.52173913043478,77.57714285714286,5221.538461538462,348,99.42857142857143,22.934625207760035,15.443452084861898
S,5頭展開,6,350,46,13.142857142857142,30,8.571428571428571,65.21739130434783,109.47142857142858,7663,348,99.42857142857143,19.929853907776973,13.52832525935705
S,5頭展開,7,350,46,13.142857142857142,35,10.0,76.08695652173913,129.08163265306123,9035.714285714286,348,99.42857142857143,17.955823698573326,12.3685523861406
S,5頭展開,8,350,46,13.142857142857142,35,10.0,76.08695652173913,112.94642857142857,9035.714285714286,348,99.42857142857143,16.357571903418094,11.53403935414575
S,5頭展開,9,350,46,13.142857142857142,36,10.285714285714286,78.26086956521739,106.27619047619048,9299.166666666666,348,99.42857142857143,15.048376782116529,10.8694900078948
