grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,odds_races,odds_coverage_pct,avg_composite_odds,median_composite_odds,avg_odds_lead_min
A,4カドまくり,9,528,148,28.03030303030303,112,21.21212121212121,75.67567567567568,83.52272727272727,3543.75,95,17.992424242424242,5.033592315956156,4.180780147595075,9.086301174561404
A,4カドまくり,10,528,148,28.03030303030303,118,22.348484848484848,79.72972972972973,79.36931818181819,3551.4406779661017,95,17.992424242424242,4.75323418391047,3.8793195153298488,9.086301174561404
A,4カドまくり,11,528,148,28.03030303030303,122,23.106060606060606,82.43243243243244,77.99931129476585,3713.27868852459,95,17.992424242424242,4.574137746459656,3.7282109724880117,9.086301174561404
A,4カドまくり,12,528,148,28.03030303030303,125,23.674242424242426,84.45945945945945,74.60227272727273,3781.44,95,17.992424242424242,4.37833416981673,3.5445983598931745,9.086301174561404
A,4カドまくり,13,528,148,28.03030303030303,130,24.62121212121212,87.83783783783784,73.74271561771562,3893.6153846153848,95,17.992424242424242,4.213187439977281,3.452717746811185,9.086301174561404
A,4カドまくり,14,528,148,28.03030303030303,135,25.568181818181817,91.21621621621621,72.67316017316017,3979.259259259259,95,17.992424242424242,4.094721428670618,3.361276737340201,9.086301174561404
A,4カドまくり,15,528,148,28.03030303030303,138,26.136363636363637,93.24324324324324,70.78282828282828,4062.31884057971,95,17.992424242424242,3.991932875265032,3.212322828335618,9.086301174561404
A,4カドまくり,16,528,148,28.03030303030303,142,26.893939393939394,95.94594594594595,68.72632575757575,4088.7323943661972,95,17.992424242424242,3.889481473136534,3.123528303776557,9.086301174561404
A,4カドまくり,17,528,148,28.03030303030303,143,27.083333333333332,96.62162162162163,65.36430481283422,4102.867132867133,95,17.992424242424242,3.80356575802252,3.082103868881418,9.086301174561404
A,4カドまくり,18,528,148,28.03030303030303,147,27.84090909090909,99.32432432432432,70.1199494949495,4533.469387755102,95,17.992424242424242,3.7326224092964337,3.030999625595714,9.086301174561404
A,4カドまくり,19,528,148,28.03030303030303,148,28.03030303030303,100.0,68.20374800637958,4623.108108108108,95,17.992424242424242,3.6770379933511403,3.010045926291803,9.086301174561404
A,4カドまくり,20,528,148,28.03030303030303,148,28.03030303030303,100.0,64.79356060606061,4623.108108108108,95,17.992424242424242,3.627212382411557,2.998640762768447,9.086301174561404
A,5頭展開,1,911,99,10.867178924259056,13,1.4270032930845225,13.131313131313131,57.12403951701427,4003.076923076923,134,14.709110867178925,99.20522388059702,59.35000000000001,9.007294116293533
A,5頭展開,2,911,99,10.867178924259056,30,3.293084522502744,30.303030303030305,89.30845225027443,5424,134,14.709110867178925,50.9455182489966,30.018882810469876,9.007294116293533
A,5頭展開,3,911,99,10.867178924259056,40,4.390779363336993,40.4040404040404,75.78485181119649,5178,134,14.709110867178925,34.007086218044904,21.463053899545358,9.007294116293533
A,5頭展開,4,911,99,10.867178924259056,47,5.159165751920966,47.474747474747474,76.0675082327113,5897.659574468085,134,14.709110867178925,26.834494497247437,17.82318291616324,9.007294116293533
A,5頭展開,5,911,99,10.867178924259056,52,5.70801317233809,52.525252525252526,76.09659714599341,6665.7692307692305,134,14.709110867178925,22.388978361504986,15.591338715146296,9.007294116293533
A,5頭展開,6,911,99,10.867178924259056,59,6.476399560922063,59.5959595959596,87.03622392974754,8063.389830508475,134,14.709110867178925,19.317854536296803,13.54808187225607,9.007294116293533
A,5頭展開,7,911,99,10.867178924259056,66,7.244785949506038,66.66666666666667,92.65485337933197,8952.424242424242,134,14.709110867178925,17.255723510352574,12.403687237272912,9.007294116293533
A,5頭展開,8,911,99,10.867178924259056,67,7.3545554335894625,67.67676767676768,83.39050493962678,9070.89552238806,134,14.709110867178925,15.608647511049055,11.454058710707628,9.007294116293533
A,5頭展開,9,911,99,10.867178924259056,71,7.793633369923161,71.71717171717172,80.30613489449932,9273.661971830987,134,14.709110867178925,14.290132801347902,10.583709400981817,9.007294116293533
A,5頭展開,10,911,99,10.867178924259056,78,8.562019758507136,78.78787878787878,81.66190998902306,9537.692307692309,134,14.709110867178925,13.255042158373438,10.010048084042719,9.007294116293533
