month,race_code,p3head,lambda,N,hit,comp,return_yen,zero_stake,actual,tickets,pair_train,odds_source
2026-07,202607011107,0.3261720075514753,0.25,8,0,3.2634198091099917,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.25,9,0,3.1046162634392593,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.25,10,0,2.9537876894364454,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5;3-1-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.25,11,0,2.882127810266844,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5;3-1-2;3-2-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.25,12,0,2.8649255568879877,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5;3-1-2;3-2-1;3-1-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.5,5,0,3.9021551519364563,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.5,6,0,3.5660383650260803,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.5,7,0,3.377269217700951,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.5,8,0,3.3319674817488933,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.5,9,0,3.1046162634392593,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.5,10,0,2.9537876894364454,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1;3-1-2,4286,official_closing
