scope,family,param,floor,month,R,return_yen,profit_yen,roi_pct,base_R,base_return_yen,base_roi_pct,added_R,added_return_yen,added_profit_yen,added_roi_pct
S+A,FIXED,4,8.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,4,9.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,4,9.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,4,9.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,4,9.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,4,9.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,4,9.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,4,10.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,4,10.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,4,10.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,4,10.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,4,10.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,4,10.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,4,11.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,4,11.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,4,11.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,4,11.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
