racer_id,racer_name,n,mean_ex_st,mean_actual_st,mean_delta,median_delta,shrunk_delta,actual_3c_faster_rate,actual_3c_slower_rate,early_n,early_delta,late_n,late_delta
4743,木村 仁紀,104,0.10461538461538462,0.13076923076923078,0.026153846153846156,0.03,0.029964168309359294,23.076923076923077,51.92307692307692,60,0.021333333333333336,44,0.03272727272727272
4438,森作 雄大,87,0.08344827586206897,0.10908045977011492,0.025632183908045978,0.03,0.030164074095535665,27.586206896551722,51.724137931034484,51,0.029411764705882353,36,0.020277777777777777
5275,松田 淳平,69,0.08985507246376812,0.11449275362318839,0.02463768115942029,0.010000000000000009,0.030328040345151384,39.130434782608695,47.82608695652174,50,0.033800000000000004,19,0.0005263157894736825
3362,間嶋 仁志,66,0.14772727272727273,0.17227272727272727,0.024545454545454547,0.03999999999999998,0.030472568253512626,31.818181818181817,53.03030303030303,36,0.03055555555555555,30,0.017333333333333333
4581,吉村 誠,81,0.11481481481481483,0.14049382716049383,0.025679012345679014,0.05,0.03050456249743912,25.925925925925927,55.55555555555556,39,0.01948717948717949,42,0.031428571428571424
5387,戸田 海咲音,13,0.2246153846153847,0.22538461538461543,0.000769230769230772,0.020000000000000018,0.030691964663780866,38.46153846153846,46.15384615384615,5,-0.06000000000000001,8,0.038750000000000014
4244,鈴木 成美,61,0.11081967213114753,0.13524590163934427,0.02442622950819672,0.05,0.030787537848830433,26.229508196721312,59.01639344262295,35,0.03257142857142857,26,0.01346153846153846
4470,平田 健之佑,69,0.10681159420289855,0.13202898550724637,0.02521739130434783,0.01999999999999999,0.03083436945907544,40.57971014492754,49.27536231884058,37,0.020810810810810813,32,0.0303125
4793,金子 萌,76,0.09236842105263157,0.1182894736842105,0.025921052631578952,0.034999999999999996,0.030999013805429763,26.31578947368421,55.26315789473684,54,0.023888888888888894,22,0.03090909090909091
5400,高村 諒,67,0.12402985074626864,0.14940298507462688,0.025373134328358207,0.03,0.031115781652817663,26.865671641791046,52.23880597014925,39,0.03974358974358975,28,0.005357142857142853
3992,関口 智久,49,0.12448979591836734,0.14775510204081632,0.02326530612244898,0.03,0.031117206563846783,32.6530612244898,51.02040816326531,23,0.02304347826086956,26,0.02346153846153846
