month,variant,race_code,p,head_hit,fstate_n,neighbor_n
2026-07,CURRENT,202607021903,0.40827227385976955,1,28,11
2026-07,CURRENT,202607021904,0.2384293231056493,1,37,11
2026-07,CURRENT,202607021905,0.7895845546888206,1,34,14
2026-07,CURRENT,202607021906,0.7324853798973078,0,10,6
2026-07,CURRENT,202607021907,0.5056444419080128,1,30,15
2026-07,CURRENT,202607021908,0.8392383593132614,1,8,7
2026-07,CURRENT,202607021909,0.8801606667728631,1,36,14
2026-07,CURRENT,202607021910,0.6099247652031188,1,24,14
2026-07,CURRENT,202607021911,0.5836833564668271,0,3,2
2026-07,CURRENT,202607021912,0.7481226870607394,1,16,19
2026-07,CURRENT,202607022001,0.5607676608132822,0,33,11
2026-07,CURRENT,202607022002,0.12047039425575289,0,14,4
2026-07,CURRENT,202607022003,0.44726346088404095,1,5,6
2026-07,CURRENT,202607022004,0.6275988077768598,1,15,13
2026-07,CURRENT,202607022005,0.5786225304833582,1,31,16
2026-07,CURRENT,202607022006,0.6183505829379369,1,28,14
2026-07,CURRENT,202607022007,0.4220632140020039,1,26,12
2026-07,CURRENT,202607022008,0.6764474819613994,1,5,9
2026-07,CURRENT,202607022009,0.5326204163046131,1,6,15
2026-07,CURRENT,202607022010,0.7634617714083768,1,34,15
2026-07,CURRENT,202607022011,0.7768923900163958,1,28,13
2026-07,CURRENT,202607022101,0.7981561097334471,1,33,17
2026-07,CURRENT,202607022102,0.6821625845105558,1,36,14
2026-07,CURRENT,202607022103,0.8450287504123736,1,35,9
2026-07,CURRENT,202607022104,0.7889831956533886,1,13,11
2026-07,CURRENT,202607022105,0.7708553612572893,0,26,11
2026-07,CURRENT,202607022106,0.430718979849186,1,28,10
2026-07,CURRENT,202607022107,0.5423453872138693,0,28,9
2026-07,CURRENT,202607022108,0.26336276965933847,0,30,11
2026-07,CURRENT,202607022109,0.8654187224315211,1,10,14
2026-07,CURRENT,202607022110,0.7115617194426568,0,5,6
2026-07,CURRENT,202607022111,0.7643282640907448,1,42,19
2026-07,CURRENT,202607022112,0.6008930855065612,0,36,17
2026-07,CURRENT,202607022201,0.9148802924571879,1,10,14
2026-07,CURRENT,202607022202,0.6347245308997308,1,20,10
2026-07,CURRENT,202607022203,0.5457411113052127,0,26,5
2026-07,CURRENT,202607022204,0.44897801047124386,0,7,17
2026-07,CURRENT,202607022206,0.3591821252559551,1,12,5
2026-07,CURRENT,202607022207,0.4996734130068318,1,32,8
2026-07,CURRENT,202607022208,0.8151949379977332,1,35,12
2026-07,CURRENT,202607022209,0.5859239337844235,0,31,11
2026-07,CURRENT,202607022210,0.816791881925554,1,29,14
2026-07,CURRENT,202607022211,0.5994856447035464,1,13,12
2026-07,CURRENT,202607022212,0.8172032243103926,1,6,10
2026-07,CURRENT,202607022301,0.8184528240760329,0,36,19
2026-07,CURRENT,202607022302,0.646633338464695,1,26,11
2026-07,CURRENT,202607022303,0.7187157481111849,0,35,16
2026-07,CURRENT,202607022304,0.18044109544172668,0,22,7
2026-07,CURRENT,202607022305,0.5319279859447174,1,40,17
2026-07,CURRENT,202607022306,0.2176286511142791,0,24,7
2026-07,CURRENT,202607022307,0.5353328909200109,1,11,9
2026-07,CURRENT,202607022308,0.4095662347188936,1,31,7
2026-07,CURRENT,202607022309,0.3416780472646723,1,27,8
2026-07,CURRENT,202607022310,0.7779662752960708,0,29,9
2026-07,CURRENT,202607022311,0.6727582087044779,1,21,11
2026-07,CURRENT,202607022312,0.6309852833086584,1,12,16
2026-07,CURRENT,202607022401,0.6386428330946048,0,34,9
2026-07,CURRENT,202607022402,0.3907580475310858,0,34,8
2026-07,CURRENT,202607022403,0.3475562563990955,0,9,10
2026-07,CURRENT,202607022404,0.48450210725797466,1,29,14
2026-07,CURRENT,202607022405,0.515892819099357,0,21,10
2026-07,CURRENT,202607022406,0.8083247587621777,1,39,13
2026-07,CURRENT,202607022407,0.5507715034590913,1,36,13
2026-07,CURRENT,202607022408,0.7377019873511685,1,32,9
2026-07,CURRENT,202607022409,0.5095635108611792,1,26,12
2026-07,CURRENT,202607022410,0.6438582225069266,1,39,16
2026-07,CURRENT,202607022411,0.47983707993959435,1,19,8
2026-07,CURRENT,202607022412,0.7187343664045093,0,7,16
2026-07,CURRENT,202607030401,0.28654365655050057,0,30,9
2026-07,CURRENT,202607030402,0.8170612809075524,1,12,16
2026-07,CURRENT,202607030403,0.17822165197688913,0,23,5
2026-07,CURRENT,202607030404,0.37299198148337837,0,25,7
2026-07,CURRENT,202607030405,0.21687590083653704,0,4,7
2026-07,CURRENT,202607030406,0.34878662369184177,0,42,12
2026-07,CURRENT,202607030407,0.49699607090135123,1,18,10
2026-07,CURRENT,202607030408,0.6091854721814476,1,1,11
2026-07,CURRENT,202607030409,0.3251724599081507,1,8,11
