pre_cut,post_cut,R,head4_rate_pct,hit_rate_pct,avg_comp_odds,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct,profitable_months,months_present,min_month_roi_pct,median_month_roi_pct
0.22,0.29,118,40.67796610169492,13.559322033898304,9.553913642424064,127180.0,110.77796610169491,90,96.13,12.222222222222221,4,7,0.0,113.5
0.22,0.3,109,40.36697247706422,13.761467889908257,9.341475977594959,133660.0,112.26238532110092,84,93.05357142857143,11.904761904761903,3,7,0.0,72.275
0.22,0.31,101,41.584158415841586,13.861386138613863,9.05595706992715,85350.0,108.45049504950495,78,83.76153846153846,11.538461538461538,2,7,0.0,72.45
0.22,0.32,92,43.47826086956522,15.217391304347828,9.142418932964123,175350.0,119.05978260869566,69,94.68695652173913,13.043478260869565,3,7,0.0,78.84545454545454
0.23,0.15,203,38.91625615763547,9.852216748768473,10.749144515047407,-364720.0,82.03349753694582,163,75.04723926380368,9.202453987730062,2,7,0.0,65.48076923076923
0.23,0.16,203,38.91625615763547,9.852216748768473,10.749144515047407,-364720.0,82.03349753694582,163,75.04723926380368,9.202453987730062,2,7,0.0,65.48076923076923
0.23,0.17,202,39.10891089108911,9.900990099009901,10.733178925773448,-354720.0,82.43960396039604,162,75.51049382716049,9.25925925925926,2,7,0.0,68.1
0.23,0.18,201,39.30348258706468,9.950248756218906,10.727281018533901,-344720.0,82.8497512437811,161,75.97950310559006,9.316770186335404,2,7,0.0,68.1
0.23,0.19,200,39.5,10.0,10.623270824721173,-334720.0,83.264,161,75.97950310559006,9.316770186335404,2,7,0.0,68.1
0.23,0.2,198,39.39393939393939,10.1010101010101,10.591622956636831,-314720.0,84.1050505050505,159,76.93522012578616,9.433962264150944,2,7,0.0,70.42444444444445
0.23,0.21,198,39.39393939393939,10.1010101010101,10.591622956636831,-314720.0,84.1050505050505,159,76.93522012578616,9.433962264150944,2,7,0.0,70.42444444444445
0.23,0.22,194,40.20618556701031,10.309278350515463,10.40764793330983,-274720.0,85.83917525773195,155,78.92064516129032,9.67741935483871,2,7,0.0,70.9375
0.23,0.23,189,40.74074074074074,10.582010582010582,10.284928241823568,-224720.0,88.11005291005291,151,81.01125827814569,9.933774834437086,2,7,0.0,70.9375
0.23,0.24,184,41.30434782608695,10.869565217391305,10.287766758326299,-174720.0,90.50434782608696,148,82.65337837837838,10.135135135135135,2,7,0.0,73.7
0.23,0.25,175,42.285714285714285,11.428571428571429,10.31213984605498,-84720.0,95.15885714285714,141,86.75673758865248,10.638297872340425,2,7,0.0,79.2275
0.23,0.26,162,41.9753086419753,10.493827160493826,10.219466819588229,-206560.0,87.24938271604938,130,74.72538461538461,9.230769230769232,2,7,0.0,69.965
0.23,0.27,146,41.0958904109589,10.95890410958904,10.028642043962874,-152820.0,89.53287671232877,116,74.58362068965518,9.482758620689655,3,7,0.0,93.28666666666666
0.23,0.28,131,41.98473282442748,12.213740458015266,9.770578549757124,-2820.0,99.78473282442748,102,84.82058823529412,10.784313725490197,4,7,0.0,106.40625
0.23,0.29,117,41.02564102564102,13.675213675213676,9.581941937020822,137180.0,111.72478632478632,89,97.21011235955056,12.359550561797752,4,7,0.0,113.5
0.23,0.3,108,40.74074074074074,13.88888888888889,9.369872947993032,143660.0,113.30185185185185,83,94.17469879518072,12.048192771084338,3,7,0.0,72.275
0.23,0.31,101,41.584158415841586,13.861386138613863,9.05595706992715,85350.0,108.45049504950495,78,83.76153846153846,11.538461538461538,2,7,0.0,72.45
0.23,0.32,92,43.47826086956522,15.217391304347828,9.142418932964123,175350.0,119.05978260869566,69,94.68695652173913,13.043478260869565,3,7,0.0,78.84545454545454
0.24,0.15,189,40.74074074074074,10.582010582010582,10.707297786382464,-224720.0,88.11005291005291,152,80.47828947368421,9.868421052631579,2,7,0.0,68.1
0.24,0.16,189,40.74074074074074,10.582010582010582,10.707297786382464,-224720.0,88.11005291005291,152,80.47828947368421,9.868421052631579,2,7,0.0,68.1
0.24,0.17,188,40.95744680851064,10.638297872340425,10.689920681265418,-214720.0,88.57872340425531,151,81.01125827814569,9.933774834437086,2,7,0.0,70.9375
0.24,0.18,188,40.95744680851064,10.638297872340425,10.689920681265418,-214720.0,88.57872340425531,151,81.01125827814569,9.933774834437086,2,7,0.0,70.9375
