variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
POST,0.18,4,333,105,43,12.912912912912914,31.53153153153153,6.68996206058374,3330000,2280520.0,-1049480.0,68.48408408408409
POST,0.18,5,333,105,52,15.615615615615615,31.53153153153153,5.56189258918249,3330000,2340980.0,-989020.0,70.2996996996997
POST,0.18,6,333,105,58,17.417417417417415,31.53153153153153,4.853030983489557,3330000,2313990.0,-1016010.0,69.48918918918919
POST,0.18,7,333,105,61,18.31831831831832,31.53153153153153,4.409060756170046,3330000,2223570.0,-1106430.0,66.77387387387387
POST,0.18,8,333,105,70,21.02102102102102,31.53153153153153,4.0688185952775395,3330000,2275050.0,-1054950.0,68.31981981981981
POST,0.18,9,333,105,76,22.822822822822822,31.53153153153153,3.801502740719016,3330000,2394860.0,-935140.0,71.91771771771772
POST,0.18,10,333,105,80,24.024024024024023,31.53153153153153,3.581080481906749,3330000,2390640.0,-939360.0,71.79099099099099
POST,0.18,11,333,105,84,25.225225225225223,31.53153153153153,3.3871708798231763,3330000,2398890.0,-931110.0,72.03873873873874
POST,0.18,12,333,105,88,26.426426426426424,31.53153153153153,3.238769449491788,3330000,2447720.0,-882280.0,73.5051051051051
POST,0.18,13,333,105,93,27.927927927927925,31.53153153153153,3.1286804013683427,3330000,2526930.0,-803070.0,75.88378378378378
POST,0.18,14,333,105,95,28.52852852852853,31.53153153153153,3.028858879941801,3330000,2460400.0,-869600.0,73.88588588588588
POST,0.18,15,333,105,97,29.129129129129126,31.53153153153153,2.9478950728907765,3330000,2447510.0,-882490.0,73.4987987987988
POST,0.18,16,333,105,99,29.72972972972973,31.53153153153153,2.8747500871710105,3330000,2425120.0,-904880.0,72.82642642642642
