date,month,race_code,layer,floor,max_n,n,comp_odds,head4_win,hit,return_yen,profit_yen,comp_band,fallback_n2
2026-04-04,2026-04,202604042202,S,5.0,10,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,6.0,10,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,7.0,10,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,8.0,10,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,9.0,10,2,11.553398058252428,0,0,0.0,-10000.0,10-12,0
2026-04-04,2026-04,202604042202,S,10.0,10,2,11.553398058252428,0,0,0.0,-10000.0,10-12,0
2026-04-04,2026-04,202604042202,S,3.0,20,7,3.113949019854576,0,0,0.0,-10000.0,3-4,0
2026-04-04,2026-04,202604042202,S,4.0,20,5,4.402122936805281,0,0,0.0,-10000.0,4-5,0
2026-04-04,2026-04,202604042202,S,5.0,20,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,6.0,20,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,7.0,20,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,8.0,20,3,8.220821718579566,0,0,0.0,-10000.0,8-10,0
2026-04-04,2026-04,202604042202,S,9.0,20,2,11.553398058252428,0,0,0.0,-10000.0,10-12,0
2026-04-04,2026-04,202604042202,S,10.0,20,2,11.553398058252428,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604070808,S,3.0,10,3,4.238056362351833,0,0,0.0,-10000.0,4-5,0
2026-04-07,2026-04,202604070808,S,4.0,10,3,4.238056362351833,0,0,0.0,-10000.0,4-5,0
2026-04-07,2026-04,202604070808,S,5.0,10,2,5.791525423728813,0,0,0.0,-10000.0,5-6,0
2026-04-07,2026-04,202604070808,S,6.0,10,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,7.0,10,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,8.0,10,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,9.0,10,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,10.0,10,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,3.0,20,3,4.238056362351833,0,0,0.0,-10000.0,4-5,0
2026-04-07,2026-04,202604070808,S,4.0,20,3,4.238056362351833,0,0,0.0,-10000.0,4-5,0
2026-04-07,2026-04,202604070808,S,5.0,20,2,5.791525423728813,0,0,0.0,-10000.0,5-6,0
2026-04-07,2026-04,202604070808,S,6.0,20,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
