actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_raw,kelly_return,kelly_total,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
4-1-5,0.49999999999999994,2026-08-24,5,0,0.18506878682578587,2000,0,0,0.03901991841193724,0,0,5頭展開,1590,202608241806,0,67.842,1.66167581631018,0.09253439341289292,17.95738595157481,0,10,4
3-2-5,0.49999999999999994,2026-08-24,5,0,0.15788735756550845,2000,0,0,0.06376624763338927,0,0,5頭展開,17080,202608241911,0,62.04466666666667,4.869713186970703,0.07894367878275421,61.68591661875434,0,10,3
6-4-2,0.49999999999999994,2026-08-24,5,0,0.14660304233050941,2000,0,0,0.05566611673800856,0,0,5頭展開,6600,202608242009,0,56.48933333333333,3.9251217864928356,0.0733015211652547,53.54761707664757,0,10,6
1-3-5,0.49999999999999994,2026-08-24,5,0,0.15029358179148858,2000,0,0,0.033784829431901246,0,0,5頭展開,1520,202608242109,0,52.196,1.7554285825261886,0.07514679089574428,23.35999397448125,0,10,1
1-6-5,0.49999999999999994,2026-08-24,5,0,0.1055675559414852,2000,0,0,0.02794844781572008,0,0,5頭展開,6260,202608242205,0,32.992,2.065950119702132,0.052783777970742594,39.139868329380725,0,10,1
3-1-5,0.49999999999999994,2026-08-25,5,0,0.15111167377023174,2000,0,0,0.05108422354914416,0,0,5頭展開,9820,202608250107,0,61.19633333333333,2.9297670177652417,0.07555583688511586,38.77618379398021,0,10,3
6-1-2,0.49999999999999994,2026-08-25,5,0,0.15020773138230548,2000,0,0,0.03481876698280574,0,0,5頭展開,8670,202608250605,0,63.69700000000002,1.799395906087851,0.07510386569115272,23.95876549800313,0,10,6
3-1-2,0.49999999999999994,2026-08-25,5,0,0.09972321789127354,2000,0,0,0.015136712024049277,0,0,5頭展開,6610,202608250903,0,33.74666666666667,1.4141688668179329,0.049861608945636765,28.36187794019596,0,10,3
1-2-5,0.49999999999999994,2026-08-25,5,0,0.09359968272294704,2000,0,0,0.028457523198931387,0,0,5頭展開,950,202608251311,0,31.683000000000007,2.4788597268515327,0.04679984136147351,52.96726772437685,0,10,1
5-1-4,0.49999999999999994,2026-08-25,5,1,0.21981281899891775,2000,0,0,0.08365475419877837,0,0,5頭展開,3150,202608251505,0,71.295,3.8364139203557452,0.10990640949945886,34.906189164287404,0,10,5
1-3-4,0.49999999999999994,2026-08-25,5,0,0.14318202531491944,2000,0,0,0.05361040322985926,0,0,5頭展開,1410,202608251511,0,54.613666666666674,3.7681141940193474,0.07159101265745971,52.633899900935596,0,10,1
3-4-2,0.5626717558582583,2026-08-26,3,1,0.3243215879387049,2000,0,0,0.05023183942743266,0,0,3まくり差し,4720,202608260904,9440,90.783,1.310500753374617,0.18248659734820963,7.181353438652815,1,7,3
3-2-4,0.5298491682391335,2026-08-26,3,1,0.2998307006086875,2000,0,0,0.09040283371321714,0,0,3まくり,10940,202608261806,0,70.999,2.110700037865505,0.15886504733006973,13.286119718204338,0,10,3
1-5-4,0.49999999999999994,2026-08-26,5,0,0.2382176116568853,2000,0,0,0.08304384964556952,0,0,5頭展開,620,202608261403,0,71.60966666666667,3.0283567103743896,0.11910880582844263,25.425128640247287,0,10,1
1-2-4,0.49999999999999994,2026-08-26,5,0,0.1453909215822807,2000,0,0,0.052303441712604586,0,0,5頭展開,1330,202608261512,0,48.64566666666666,3.3784412288725103,0.07269546079114034,46.47389523506884,0,10,1
1-3-5,0.49999999999999994,2026-08-26,5,0,0.14329566135156924,2000,0,0,0.05692069235910793,0,0,5頭展開,2210,202608261809,0,59.21400000000001,4.588100219794676,0.0716478306757846,64.03683372573279,0,10,1
