q,conf,R,head_hits,head_rate,exact3_hits,exact3_rate,worst_head_month,worst_exact3_month
0.89,0.375,1853,1459,0.7873718294657313,672,0.36265515380464114,0.7423728813559322,0.3423728813559322
0.89,0.4,1374,1077,0.7838427947598253,516,0.37554585152838427,0.7216981132075472,0.32547169811320753
0.89,0.425,919,713,0.7758433079434167,361,0.3928182807399347,0.6824324324324325,0.3108108108108108
0.89,0.45,550,428,0.7781818181818182,238,0.43272727272727274,0.6956521739130435,0.34782608695652173
0.89,0.475,267,203,0.7602996254681648,117,0.43820224719101125,0.7073170731707317,0.3902439024390244
0.9,0.3,2197,1742,0.7928994082840237,746,0.3395539371870733,0.7657142857142857,0.29428571428571426
0.9,0.325,2149,1707,0.7943229409027455,739,0.3438808748255002,0.7617647058823529,0.3029411764705882
0.9,0.35,2000,1588,0.794,704,0.352,0.7707006369426752,0.3210412147505423
0.9,0.375,1694,1349,0.7963400236127509,629,0.37131050767414403,0.7509433962264151,0.35094339622641507
0.9,0.4,1251,990,0.7913669064748201,480,0.38369304556354916,0.7239583333333334,0.3229166666666667
0.9,0.425,831,654,0.7870036101083032,333,0.4007220216606498,0.6818181818181818,0.3106060606060606
0.9,0.45,501,393,0.7844311377245509,221,0.4411177644710579,0.6829268292682927,0.34146341463414637
0.9,0.475,245,187,0.763265306122449,108,0.44081632653061226,0.7027027027027027,0.3783783783783784
0.91,0.3,1978,1579,0.7982810920121335,693,0.35035389282103135,0.7774193548387097,0.3032258064516129
0.91,0.325,1936,1547,0.7990702479338843,687,0.35485537190082644,0.7740863787375415,0.3122923588039867
0.91,0.35,1809,1444,0.7982310668877833,654,0.3615257048092869,0.7785714285714286,0.33214285714285713
0.91,0.375,1532,1229,0.8022193211488251,584,0.381201044386423,0.759656652360515,0.3605150214592275
0.91,0.4,1141,910,0.7975460122699386,448,0.39263803680981596,0.7283236994219653,0.3352601156069364
0.91,0.425,764,606,0.7931937172774869,311,0.40706806282722513,0.6833333333333333,0.31666666666666665
0.91,0.45,459,365,0.7952069716775599,208,0.4531590413943355,0.6891891891891891,0.35135135135135137
0.91,0.475,223,175,0.7847533632286996,101,0.452914798206278,0.71875,0.375
0.92,0.3,1759,1407,0.7998862990335418,628,0.35702103467879476,0.7700729927007299,0.30656934306569344
0.92,0.325,1721,1376,0.799535153980244,622,0.3614177803602557,0.7660377358490567,0.3169811320754717
0.92,0.35,1608,1284,0.7985074626865671,592,0.3681592039800995,0.7723577235772358,0.33739837398373984
0.92,0.375,1359,1092,0.8035320088300221,528,0.38852097130242824,0.7560975609756098,0.37073170731707317
0.92,0.4,1021,813,0.7962781586679726,409,0.4005876591576885,0.7320261437908496,0.3333333333333333
0.92,0.425,678,536,0.7905604719764012,283,0.4174041297935103,0.6944444444444444,0.3333333333333333
0.92,0.45,410,327,0.7975609756097561,187,0.4560975609756098,0.6956521739130435,0.36231884057971014
0.93,0.3,1539,1235,0.8024691358024691,549,0.3567251461988304,0.7622950819672131,0.29918032786885246
0.93,0.325,1508,1211,0.803050397877984,546,0.3620689655172414,0.7584745762711864,0.3093220338983051
0.93,0.35,1407,1130,0.8031272210376688,519,0.36886993603411516,0.7649769585253456,0.3317972350230415
0.93,0.375,1196,967,0.8085284280936454,466,0.3896321070234114,0.7430167597765364,0.3687150837988827
0.93,0.4,896,722,0.8058035714285714,365,0.40736607142857145,0.7185185185185186,0.32592592592592595
0.93,0.425,599,479,0.7996661101836394,254,0.4240400667779633,0.6938775510204082,0.336734693877551
0.93,0.45,362,288,0.7955801104972375,165,0.4558011049723757,0.6875,0.34375
0.94,0.3,1320,1058,0.8015151515151515,476,0.3606060606060606,0.7706422018348624,0.3073394495412844
0.94,0.325,1295,1039,0.8023166023166023,474,0.36602316602316604,0.7666666666666667,0.319047619047619
0.94,0.35,1207,970,0.8036454018227009,451,0.3736536868268434,0.7783505154639175,0.339041095890411
0.94,0.375,1031,837,0.8118331716779825,406,0.3937924345295829,0.7610062893081762,0.3643724696356275
0.94,0.4,784,636,0.8112244897959183,323,0.4119897959183674,0.7355371900826446,0.33884297520661155
0.94,0.425,529,428,0.8090737240075614,230,0.43478260869565216,0.7241379310344828,0.3563218390804598
0.94,0.45,323,261,0.8080495356037152,154,0.47678018575851394,0.7407407407407407,0.3888888888888889
0.95,0.3,1100,887,0.8063636363636364,399,0.36272727272727273,0.7643979057591623,0.2931937172774869
0.95,0.325,1080,872,0.8074074074074075,397,0.3675925925925926,0.7608695652173914,0.30434782608695654
0.95,0.35,1009,818,0.8107036669970268,380,0.37661050545094155,0.7738095238095238,0.3273809523809524
0.95,0.375,871,712,0.817451205510907,348,0.399540757749713,0.7553956834532374,0.3597122302158273
0.95,0.4,656,535,0.8155487804878049,274,0.4176829268292683,0.7115384615384616,0.3076923076923077
0.95,0.425,438,356,0.8127853881278538,189,0.4315068493150685,0.6986301369863014,0.3013698630136986
0.95,0.45,264,216,0.8181818181818182,126,0.4772727272727273,0.7333333333333333,0.35555555555555557
0.96,0.3,880,703,0.7988636363636363,309,0.35113636363636364,0.7612903225806451,0.27741935483870966
0.96,0.325,862,690,0.8004640371229699,308,0.35730858468677495,0.7583892617449665,0.28859060402684567
0.96,0.35,804,646,0.8034825870646766,294,0.3656716417910448,0.7664233576642335,0.31386861313868614
