race_code,venue,venue_name,race,boat1_name,p109,grade,top7,entry_course,winner,head_hit,actual_combo,payout100,ticket7_hit,invest7,return7
202609042008,20,若松,08,佐竹 恒彦,0.48961909822031446,B,1-2-3;1-3-2;1-2-5;1-2-6;1-2-4;1-5-2;1-3-5,1,2,0,2-1-3,1010,0,700,0
202609042009,20,若松,09,馬袋 義則,0.6363369574457408,B,1-2-6;1-2-3;1-3-2;1-2-5;1-6-2;1-2-4;1-3-6,1,1,1,1-2-6,1910,1,700,1910
202609042010,20,若松,10,江夏 満,0.6802735281171909,A,1-2-3;1-3-2;1-2-6;1-2-5;1-2-4;1-3-6;1-6-2,1,2,0,2-1-3,1750,0,700,0
202609042011,20,若松,11,田頭 実,0.7419838183651648,S,1-2-6;1-6-2;1-2-5;1-2-3;1-3-2;1-3-6;1-6-5,1,1,1,1-3-2,650,1,700,650
202609042012,20,若松,12,飯山 泰,0.7370549164619126,S,1-3-5;1-5-3;1-3-6;1-3-4;1-5-6;1-5-4;1-3-2,1,1,1,1-4-6,6830,0,700,0
202609042201,22,福岡,01,林 恵祐,0.3126607267387382,B,1-3-2;1-2-3;1-3-5;1-3-4;1-2-5;1-5-3;1-2-4,1,2,0,2-3-4,3190,0,700,0
202609042202,22,福岡,02,有山 望,0.3400126958795792,B,1-4-5;1-4-3;1-4-2;1-5-4;1-3-4;1-2-4;1-3-5,1,2,0,2-5-4,23070,0,700,0
202609042203,22,福岡,03,宮迫 暢彦,0.4938588783286147,B,1-4-5;1-4-3;1-3-4;1-5-4;1-4-2;1-2-4;1-3-5,1,4,0,4-1-3,9280,0,700,0
202609042204,22,福岡,04,松田 隆司,0.3851533016395441,B,1-5-2;1-2-5;1-5-6;1-5-4;1-2-6;1-5-3;1-2-4,1,1,1,1-2-3,1210,0,700,0
202609042205,22,福岡,05,伏島 祐介,0.2548533364403569,B,1-3-5;1-3-2;1-5-3;1-2-3;1-2-5;1-5-2;1-3-6,1,2,0,2-1-3,2330,0,700,0
202609042206,22,福岡,06,堀越 雄貴,0.38517238253533714,B,1-2-3;1-3-2;1-2-6;1-2-4;1-6-2;1-3-6;1-2-5,1,2,0,2-6-3,2510,0,700,0
202609042207,22,福岡,07,枝尾 賢,0.7029522531317345,A,1-2-4;1-4-2;1-2-5;1-2-3;1-5-2;1-3-2;1-4-5,1,2,0,2-4-5,12980,0,700,0
202609042208,22,福岡,08,繁野谷 圭介,0.6619692858532158,A,1-5-3;1-5-6;1-3-5;1-5-2;1-2-5;1-6-5;1-3-6,1,1,1,1-4-5,5810,0,700,0
202609042209,22,福岡,09,桑島 和宏,0.6570276003608803,A,1-6-3;1-3-6;1-6-4;1-6-2;1-3-4;1-4-6;1-3-2,1,3,0,3-2-5,63710,0,700,0
202609042210,22,福岡,10,佃 來紀,0.7581867692833758,S,1-4-6;1-6-4;1-3-6;1-6-3;1-3-4;1-4-3;1-6-2,1,1,1,1-4-2,1100,0,700,0
202609042211,22,福岡,11,溝口 海義也,0.6436160764339078,B,1-4-5;1-4-3;1-5-4;1-4-6;1-4-2;1-3-4;1-6-4,1,4,0,4-1-5,840,0,700,0
