feature,auc_oriented,direction,n,top10_n,top10_head_rate,overall_head_rate,lift_pt
b2_vh_p2_straight,0.530656853957321,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
rel_st_raw_4v3,0.5302280715158925,high,537,53,0.24528301886792453,0.2383612662942272,0.6921752573697343
attack4_st_edge3,0.5302280715158925,low,537,53,0.24528301886792453,0.2383612662942272,0.6921752573697343
b1_gh_delta_straight,0.5301536380934408,low,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
b4_gh_delta_turn,0.5301300498498215,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
rel_st_corr_strength_4v6,0.5299334811529934,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b5_gh_p1_overall,0.5294774417763519,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b5_gh_p12_straight,0.529288735827397,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_pl_frame_races_4v3,0.5291629318614268,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b5_vh_p1_turn,0.5291000298784421,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
st_corr_strength_b3,0.5288405591986287,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b1_gh_p1_straight,0.5288248337028825,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b6_vh_p12_straight,0.528486735544338,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_gh_p12_straight,0.5284474218049724,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
st_raw_rank_b3,0.5281329118900473,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
rel_st_corr_rank_4v6,0.5279677941847117,low,592,59,0.2033898305084746,0.23817567567567569,-3.4785845167201095
rel_pl_frame_win_4v2,0.527865578462361,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_pl_all_win_4v6,0.5275274803038166,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
