date,head,head_hit,month,period,score
2026-06-16,3,0,2026-06,calibration,68.31700000000001
2026-06-16,3,0,2026-06,calibration,52.055000000000014
2026-06-16,3,0,2026-06,calibration,73.325
2026-06-16,3,0,2026-06,calibration,43.281
2026-06-16,3,0,2026-06,calibration,53.981
2026-06-16,3,0,2026-06,calibration,79.08666666666667
2026-06-16,3,0,2026-06,calibration,66.593
2026-06-16,3,0,2026-06,calibration,85.71700000000001
2026-06-16,3,0,2026-06,calibration,18.158000000000005
2026-06-16,3,1,2026-06,calibration,81.35300000000002
2026-06-16,3,0,2026-06,calibration,60.899
2026-06-16,3,0,2026-06,calibration,62.765000000000015
2026-06-16,3,0,2026-06,calibration,37.32900000000001
2026-06-16,3,1,2026-06,calibration,55.65700000000001
2026-06-16,3,0,2026-06,calibration,62.38900000000001
2026-06-16,3,0,2026-06,calibration,52.55500000000001
2026-06-16,3,0,2026-06,calibration,49.125
2026-06-16,3,1,2026-06,calibration,38.824999999999996
2026-06-16,3,0,2026-06,calibration,30.358000000000004
2026-06-16,3,0,2026-06,calibration,42.619
2026-06-16,3,0,2026-06,calibration,57.75300000000001
2026-06-16,3,0,2026-06,calibration,56.023
2026-06-18,3,0,2026-06,calibration,45.317666666666675
2026-06-18,3,1,2026-06,calibration,78.881
2026-06-18,3,0,2026-06,calibration,52.31766666666666
2026-06-18,3,0,2026-06,calibration,73.211
2026-06-18,3,0,2026-06,calibration,34.144333333333336
2026-06-18,3,1,2026-06,calibration,54.25300000000001
2026-06-18,3,0,2026-06,calibration,63.018
2026-06-18,3,1,2026-06,calibration,82.3
2026-06-18,3,0,2026-06,calibration,69.48
2026-06-18,3,0,2026-06,calibration,64.296
2026-06-18,3,0,2026-06,calibration,25.096000000000004
2026-06-18,3,1,2026-06,calibration,52.005
2026-06-18,3,0,2026-06,calibration,44.205
2026-06-18,3,0,2026-06,calibration,83.19000000000001
2026-06-18,3,0,2026-06,calibration,53.375
2026-06-18,3,0,2026-06,calibration,28.773000000000003
2026-06-18,3,0,2026-06,calibration,59.92266666666668
2026-06-18,3,0,2026-06,calibration,28.607000000000003
2026-06-18,3,0,2026-06,calibration,70.32600000000001
2026-06-18,3,0,2026-06,calibration,75.211
2026-06-18,3,0,2026-06,calibration,43.410000000000004
2026-06-18,3,0,2026-06,calibration,63.156
2026-06-18,3,0,2026-06,calibration,49.575
2026-06-18,3,0,2026-06,calibration,29.75
2026-06-18,3,1,2026-06,calibration,38.550000000000004
2026-06-18,3,1,2026-06,calibration,19.476999999999997
2026-06-18,3,0,2026-06,calibration,42.05500000000001
2026-06-18,3,0,2026-06,calibration,40.032000000000004
2026-06-18,3,0,2026-06,calibration,38.55400000000001
2026-06-18,3,0,2026-06,calibration,29.331000000000003
2026-06-18,3,0,2026-06,calibration,45.61
2026-06-18,3,0,2026-06,calibration,67.01
2026-06-19,3,0,2026-06,calibration,79.86933333333336
2026-06-19,3,0,2026-06,calibration,64.421
2026-06-19,3,1,2026-06,calibration,64.44066666666669
2026-06-19,3,0,2026-06,calibration,53.711333333333336
2026-06-19,3,0,2026-06,calibration,56.13333333333334
2026-06-19,3,0,2026-06,calibration,71.47
2026-06-19,3,0,2026-06,calibration,73.628
2026-06-19,3,1,2026-06,calibration,77.82000000000002
2026-06-19,3,0,2026-06,calibration,74.87500000000001
2026-06-19,3,1,2026-06,calibration,35.885
2026-06-19,3,1,2026-06,calibration,74.301
2026-06-19,3,1,2026-06,calibration,87.01100000000001
2026-06-19,3,0,2026-06,calibration,64.137
2026-06-19,3,1,2026-06,calibration,55.813666666666684
2026-06-19,3,0,2026-06,calibration,52.95100000000001
2026-06-19,3,0,2026-06,calibration,64.899
2026-06-19,3,1,2026-06,calibration,39.81133333333334
2026-06-19,3,0,2026-06,calibration,84.319
2026-06-19,3,0,2026-06,calibration,67.266
2026-06-19,3,0,2026-06,calibration,67.992
2026-06-19,3,0,2026-06,calibration,21.294999999999998
2026-06-19,3,0,2026-06,calibration,18.114
2026-06-19,3,1,2026-06,calibration,44.157000000000004
2026-06-19,3,1,2026-06,calibration,80.30499999999999
2026-06-19,3,1,2026-06,calibration,73.298
2026-06-19,3,1,2026-06,calibration,69.56000000000002
2026-06-19,3,0,2026-06,calibration,36.904
2026-06-20,3,0,2026-06,calibration,64.77000000000001
2026-06-20,3,0,2026-06,calibration,65.757
2026-06-20,3,0,2026-06,calibration,62.19000000000001
2026-06-20,3,1,2026-06,calibration,56.551
2026-06-20,3,1,2026-06,calibration,58.684000000000005
2026-06-20,3,0,2026-06,calibration,84.282
2026-06-20,3,0,2026-06,calibration,94.72766666666666
2026-06-20,3,0,2026-06,calibration,62.61266666666668
2026-06-20,3,0,2026-06,calibration,88.25900000000001
2026-06-20,3,1,2026-06,calibration,63.009
2026-06-20,3,0,2026-06,calibration,55.408
2026-06-20,3,0,2026-06,calibration,57.57800000000001
2026-06-20,3,1,2026-06,calibration,57.14600000000001
2026-06-20,3,1,2026-06,calibration,48.35999999999999
