grade,group,value_lambda,tickets_n,races,role_hit_rate_pct,hybrid_hit_rate_pct,hit_diff_pt,role_comp_rate_pct,hybrid_comp_rate_pct,comp_reduction_pt,role_roi_pct,hybrid_roi_pct,odds_races
S,4C,0.15,11,105,26.666666666666668,25.714285714285715,-0.9523809523809526,58.424254163475844,56.765699379745634,1.6585547837302101,74.06060606060606,72.07792207792208,103
S,4C,0.15,12,105,26.666666666666668,26.666666666666668,0.0,61.06872249342751,60.982295146293545,0.08642734713396294,67.88888888888889,67.88888888888889,103
S,4C,0.15,13,105,26.666666666666668,27.61904761904762,0.9523809523809526,64.01229515303105,63.2552628253712,0.7570323276598501,62.666666666666664,65.56776556776556,103
S,4C,0.15,14,105,27.61904761904762,27.61904761904762,0.0,65.46792741481283,65.71909827516328,-0.25117086035044167,60.8843537414966,60.8843537414966,103
S,4C,0.15,15,105,27.61904761904762,27.61904761904762,0.0,68.06594090315629,67.13209842779973,0.9338424753565562,56.82539682539682,56.82539682539682,103
S,4C,0.15,16,105,28.571428571428573,28.571428571428573,0.0,69.80188792110293,69.39408603960123,0.4078018815016975,60.095238095238095,60.095238095238095,103
S,4C,0.15,17,105,28.571428571428573,28.571428571428573,0.0,71.90043765109073,71.26279417350709,0.6376434775836373,56.56022408963585,56.56022408963585,103
S,4C,0.15,18,105,28.571428571428573,28.571428571428573,0.0,74.87489567037211,74.07876878119262,0.7961268891794901,53.41798941798942,53.41798941798942,103
S,4C,0.15,19,105,28.571428571428573,28.571428571428573,0.0,76.74308822469496,76.53943502485905,0.20365319983591235,50.606516290726816,50.606516290726816,103
S,4C,0.15,20,105,29.523809523809526,29.523809523809526,0.0,79.80738351925605,79.80738351925605,0.0,52.03333333333333,52.03333333333333,103
