date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,composite_odds_race,tickets_race,hit,payout,actual_combo,stake_v8,return_v8,profit_v8
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-1,60.14,0.0633,0.00481,605.3,2.91,0.07594,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-2,60.14,0.0633,0.00228,1274.0,2.91,0.03608,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-4,60.14,0.0633,0.00168,1729.0,2.91,0.02659,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-6,60.14,0.0633,0.00196,1482.0,2.91,0.03102,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-4-1,60.14,0.0633,0.00304,955.8,2.91,0.04809,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-4-2,60.14,0.0633,0.00192,1513.0,2.91,0.03038,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-4-3,60.14,0.0633,0.00164,1771.0,2.91,0.02596,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-4-6,60.14,0.0633,0.00261,1117.0,2.91,0.04115,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-6-1,60.14,0.0633,0.00212,1370.0,2.91,0.03355,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-6-2,60.14,0.0633,0.0014,2075.0,2.91,0.02215,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-6-3,60.14,0.0633,0.00124,2343.0,2.91,0.01962,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-6-4,60.14,0.0633,0.00164,1771.0,2.91,0.02596,100,45.97,20,0,0,1-6-4,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-1-2,67.43,0.0658,0.00891,131.0,1.167,0.13526,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-1-3,67.43,0.0658,0.00787,148.2,1.167,0.11956,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-1-4,67.43,0.0658,0.00658,177.2,1.167,0.1,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-1-6,67.43,0.0658,0.00515,226.7,1.167,0.07816,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-2-1,67.43,0.0658,0.00402,290.3,1.167,0.06104,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-2-3,67.43,0.0658,0.00221,527.3,1.167,0.0336,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-2-4,67.43,0.0658,0.00219,531.7,1.167,0.03333,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-2-6,67.43,0.0658,0.00179,650.8,1.167,0.02723,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-3-1,67.43,0.0658,0.00433,269.5,1.167,0.06575,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-3-2,67.43,0.0658,0.00201,581.3,1.167,0.03048,100,17.72,20,0,0,1-3-6,300,0,-300
2026-08-04,202608041212,12,12R,初日,5,5-3-4,67.43,0.0658,0.00212,551.2,1.167,0.03215,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-3-6,67.43,0.0658,0.00156,750.0,1.167,0.02363,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-4-1,67.43,0.0658,0.00418,279.2,1.167,0.06346,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-4-2,67.43,0.0658,0.0023,506.4,1.167,0.03499,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-4-3,67.43,0.0658,0.002,583.9,1.167,0.03035,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-4-6,67.43,0.0658,0.00243,480.7,1.167,0.03686,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-6-1,67.43,0.0658,0.00206,565.8,1.167,0.03132,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-6-2,67.43,0.0658,0.00141,827.7,1.167,0.02141,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-6-3,67.43,0.0658,0.0011,1065.0,1.167,0.01664,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-04,202608041212,12,12R,初日,5,5-6-4,67.43,0.0658,0.00163,714.4,1.167,0.0248,100,17.72,20,0,0,1-3-6,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-2,66.9,0.0663,0.00555,255.6,1.419,0.08378,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-3,66.9,0.0663,0.00335,423.1,1.419,0.05061,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-4,66.9,0.0663,0.00555,255.6,1.419,0.08378,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-6,66.9,0.0663,0.0022,645.9,1.419,0.03315,100,21.41,20,0,0,1-2-4,300,0,-300
