combo,odds,pair_prob_model,second_prob,third_prob_cond,combo_prob,model_ev,stake,date,race_code,venue,race,score3,composite_odds,actual_combo,hit,payout100,return
3-1-6,89.6,0.07035853197115169,0.5167022910466167,0.13616841494671053,0.011772024425993509,1.0547733885690183,700,2026-08-21,202608212404,24,04R,71.39,5.04,3-2-5,0,0,0
3-6-1,477.1,0.018861282762167426,0.04744010308340005,0.39758098183322144,0.003155771946362439,1.5056187956095197,200,2026-08-21,202608212404,24,04R,71.39,5.04,3-2-5,0,0,0
3-1-2,19.3,0.10209817925753237,0.3008473094627253,0.3393687629776933,0.018025627924017403,0.3478946189335359,1700,2026-08-21,202608212409,24,09R,75.53,5.18,3-4-2,0,0,0
3-4-2,19.4,0.08713087021175937,0.23264490554401576,0.3745230096829886,0.01538312101699066,0.2984325477296188,1400,2026-08-21,202608212409,24,09R,75.53,5.18,3-4-2,1,1700,23800
3-2-4,12.7,0.07444206485359575,0.2242427700343104,0.3319708583790938,0.013142888273862074,0.16691468107804833,1200,2026-08-21,202608212409,24,09R,75.53,5.18,3-4-2,0,0,0
3-5-2,90.6,0.03678925810668435,0.09808363853536167,0.3750804788244155,0.006495213558696334,0.5884663484178878,700,2026-08-21,202608212409,24,09R,75.53,5.18,3-4-2,0,0,0
3-4-5,17.1,0.15213364141868532,0.5057895697056282,0.30078445766927897,0.025197591921085147,0.43087882185055604,800,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-4-1,41.6,0.1396542838247706,0.5057895697056282,0.27611143485234396,0.02313066078635102,0.9622354887122024,800,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-4-2,84.1,0.11702730418801296,0.5057895697056282,0.23137547944320683,0.019382999230517808,1.6301102352865475,700,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-1-4,55.4,0.10424294431121624,0.20678823474294958,0.504104812543115,0.01726555117534851,0.9565115351143074,600,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-5-4,22.6,0.10217118262767838,0.18441715938939016,0.5540221038322559,0.016922409415427976,0.3824464527886723,600,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-4-6,178.3,0.09697434027415919,0.5057895697056282,0.1917286280351703,0.016061666770467494,2.863795185174354,600,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-1-5,74.1,0.05744435461193651,0.20678823474294958,0.2777931475808736,0.009514394003744014,0.7050165956774315,400,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-2-4,89.4,0.038552434791391,0.06525429511472176,0.5908030225997084,0.00638536296363444,0.5708514489489189,300,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-5-1,96.5,0.0343960676349828,0.18441715938939016,0.18651229499938643,0.005696952152555861,0.5497558827216406,200,2026-08-22,202608220405,04,05R,70.97,5.07,2-4-5,0,0,0
3-1-2,24.1,0.13052649505192704,0.4032990951050273,0.32364688301106964,0.0206143207881073,0.49680513099338597,1300,2026-08-22,202608220407,04,07R,69.36,5.22,1-5-3,0,0,0
3-1-5,32.5,0.12149985256878866,0.4032990951050273,0.30126487771351834,0.019188724370208046,0.6236335420317615,1300,2026-08-22,202608220407,04,07R,69.36,5.22,1-5-3,0,0,0
3-1-6,17.7,0.09222057577603707,0.4032990951050273,0.22866546663592424,0.01456458730125933,0.25779319523229016,1000,2026-08-22,202608220407,04,07R,69.36,5.22,1-5-3,0,0,0
3-2-1,29.8,0.05961781254360781,0.19691646398989973,0.30275687129272105,0.009415565107836966,0.2805838402135416,700,2026-08-22,202608220407,04,07R,69.36,5.22,1-5-3,0,0,0
3-1-4,34.2,0.059052171708274585,0.4032990951050273,0.1464227726394878,0.009326232274485598,0.31895714378740747,700,2026-08-22,202608220407,04,07R,69.36,5.22,1-5-3,0,0,0
3-1-4,14.7,0.11036195913261122,0.3311284092350528,0.3332905182843141,0.017943421176454886,0.2637682912938868,1100,2026-08-22,202608222202,22,02R,70.23,5.05,3-2-5,0,0,0
3-1-5,31.9,0.09737165530247183,0.3311284092350528,0.29406010655326215,0.01583136649143227,0.5050205910766894,1000,2026-08-22,202608222202,22,02R,70.23,5.05,3-2-5,0,0,0
3-4-2,28.4,0.09203786818107136,0.30327760899104544,0.30347729424294184,0.014964161980593181,0.4249822002488463,1000,2026-08-22,202608222202,22,02R,70.23,5.05,3-2-5,0,0,0
3-1-2,33.6,0.07756345622061118,0.3311284092350528,0.23423981167847321,0.012610810589141602,0.42372323579515786,800,2026-08-22,202608222202,22,02R,70.23,5.05,3-2-5,0,0,0
3-4-6,39.0,0.057828055815525706,0.30327760899104544,0.19067697087137458,0.009402090806187088,0.36668154144129644,600,2026-08-22,202608222202,22,02R,70.23,5.05,3-2-5,0,0,0
3-6-4,155.3,0.025560380639337885,0.07116840960119869,0.3591534612417048,0.004155785914338826,0.6453935524968197,300,2026-08-22,202608222202,22,02R,70.23,5.05,3-2-5,0,0,0
3-6-2,590.3,0.014535508177474553,0.07116840960119869,0.2042410145024476,0.0023632848428219,1.3950470427177675,200,2026-08-22,202608222202,22,02R,70.23,5.05,3-2-5,0,0,0
3-1-5,13.0,0.14282151304810128,0.3418235398366691,0.417822345167757,0.021868032485275486,0.2842844223085813,1500,2026-08-23,202608230401,04,01R,68.24,5.08,1-3-5,0,0,0
3-5-2,28.1,0.09778497705163908,0.26071878245377744,0.37505919646957264,0.014972289601896142,0.42072133781328164,1100,2026-08-23,202608230401,04,01R,68.24,5.08,1-3-5,0,0,0
3-1-2,25.1,0.09123321762621406,0.3418235398366691,0.26690150616837954,0.013969120787246696,0.3506249317598921,1000,2026-08-23,202608230401,04,01R,68.24,5.08,1-3-5,0,0,0
3-1-4,29.6,0.06558734186398948,0.3418235398366691,0.1918748541874225,0.010042367510989329,0.29725407832528417,800,2026-08-23,202608230401,04,01R,68.24,5.08,1-3-5,0,0,0
3-4-2,92.9,0.04842940229186632,0.153268051970955,0.31597845519067413,0.007415239622929391,0.6888757609701405,600,2026-08-23,202608230401,04,01R,68.24,5.08,1-3-5,0,0,0
3-1-5,79.6,0.15185967600211445,0.5287114221210326,0.2872260171586584,0.023777259623564282,1.8926698660357166,900,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
3-1-2,58.5,0.14754054878339234,0.5287114221210326,0.2790568590167839,0.023100997090083515,1.3514083297698856,900,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
3-1-6,127.2,0.1339027779362141,0.5287114221210326,0.2532625026314659,0.020965678309899115,2.6668342810191676,800,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
3-1-4,65.8,0.0954084193993118,0.5287114221210326,0.18045462119309177,0.014938466998308076,0.9829511284886714,600,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
3-2-1,112.2,0.046884976405318135,0.12178916979420047,0.3849683554337749,0.007340962958582981,0.8236560439530105,400,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
3-5-1,210.5,0.04569858041410576,0.12537127673029497,0.36450598259771133,0.007155204327707067,1.5061705109823376,400,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
3-6-1,378.1,0.04370510381424992,0.10041375188491684,0.43525018230909124,0.006843077949486608,2.5873677727008864,400,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
3-4-1,173.2,0.042331162014235535,0.12371437946955505,0.34216848676554074,0.006627954542492414,1.147961726759686,300,2026-08-23,202608232411,24,11R,69.11,12.96,3-2-6,0,0,0
