role,feature,category,n_long,races,direction,auc_oriented,top1_pct,top2_pct,month_positive,month_seen,month_consistency,month_auc
THIRD,pref_pl_frame_p2,PLAYER_HISTORY,705,141,high,0.52287988531764,24.822695035460992,44.680851063829785,3,5,0.6,2026-02:0.468;2026-03:0.517;2026-04:0.491;2026-05:0.512;2026-06:0.628
THIRD,pref_gh_p2_straight,PRIOR_EXHIBITION,705,141,low,0.5227981489864695,20.56737588652482,46.09929078014184,3,5,0.6,2026-02:0.610;2026-03:0.460;2026-04:0.490;2026-05:0.529;2026-06:0.519
THIRD,suf_st_corr_rank,START,705,141,high,0.5220373723655751,24.822695035460992,41.13475177304964,3,5,0.6,2026-02:0.487;2026-03:0.544;2026-04:0.573;2026-05:0.549;2026-06:0.442
THIRD,v93_direct,V93_BASE_CONTEXT,705,141,high,0.5209370755998188,24.822695035460992,43.262411347517734,3,5,0.6,2026-02:0.477;2026-03:0.584;2026-04:0.457;2026-05:0.557;2026-06:0.518
THIRD,suf_st_raw,START,639,127,high,0.5176048801369862,25.19685039370079,38.58267716535433,4,5,0.8,2026-02:0.502;2026-03:0.532;2026-04:0.581;2026-05:0.549;2026-06:0.460
THIRD,v93_motor,V93_BASE_CONTEXT,705,141,high,0.5164478647955334,20.56737588652482,41.843971631205676,3,5,0.6,2026-02:0.516;2026-03:0.495;2026-04:0.485;2026-05:0.548;2026-06:0.527
THIRD,pref_gh_p1_overall,PRIOR_EXHIBITION,705,141,low,0.5164352899753533,22.69503546099291,39.716312056737586,2,5,0.4,2026-02:0.614;2026-03:0.485;2026-04:0.464;2026-05:0.469;2026-06:0.533
THIRD,pref_gh_p12_turn,PRIOR_EXHIBITION,705,141,high,0.5153727176701373,18.43971631205674,43.262411347517734,4,5,0.8,2026-02:0.428;2026-03:0.550;2026-04:0.510;2026-05:0.540;2026-06:0.543
THIRD,pref_gh_p2_display,PRIOR_EXHIBITION,705,141,high,0.5145050550777124,21.27659574468085,42.5531914893617,3,5,0.6,2026-02:0.391;2026-03:0.456;2026-04:0.662;2026-05:0.561;2026-06:0.512
THIRD,pref_vh_p1_overall,PRIOR_EXHIBITION,705,141,low,0.5138385896081686,21.98581560283688,38.297872340425535,2,5,0.4,2026-02:0.603;2026-03:0.490;2026-04:0.509;2026-05:0.480;2026-06:0.491
THIRD,pref_gh_p12_overall,PRIOR_EXHIBITION,705,141,high,0.513021226296464,19.858156028368793,43.97163120567376,3,5,0.6,2026-02:0.406;2026-03:0.585;2026-04:0.490;2026-05:0.538;2026-06:0.533
THIRD,pref_gh_p1_turn,PRIOR_EXHIBITION,705,141,low,0.5127445802525024,18.43971631205674,39.716312056737586,2,5,0.4,2026-02:0.595;2026-03:0.495;2026-04:0.450;2026-05:0.486;2026-06:0.522
THIRD,pref_vh_p12_turn,PRIOR_EXHIBITION,705,141,high,0.5121095518334087,17.73049645390071,46.09929078014184,3,5,0.6,2026-02:0.458;2026-03:0.541;2026-04:0.468;2026-05:0.513;2026-06:0.565
THIRD,pref_vh_p1_turn,PRIOR_EXHIBITION,705,141,low,0.5106634475127005,19.148936170212767,39.00709219858156,2,5,0.4,2026-02:0.590;2026-03:0.500;2026-04:0.495;2026-05:0.484;2026-06:0.486
THIRD,pref_vh_p12_overall,PRIOR_EXHIBITION,705,141,high,0.5103930888788291,19.858156028368793,46.09929078014184,3,5,0.6,2026-02:0.442;2026-03:0.571;2026-04:0.450;2026-05:0.506;2026-06:0.572
THIRD,pref_pl_frame_win,PLAYER_HISTORY,705,141,low,0.5085508777224486,23.404255319148938,41.13475177304964,3,5,0.6,2026-02:0.556;2026-03:0.494;2026-04:0.539;2026-05:0.523;2026-06:0.455
THIRD,pref_gh_delta_straight,PRIOR_EXHIBITION,705,141,low,0.5071550726824605,23.404255319148938,43.262411347517734,3,5,0.6,2026-02:0.499;2026-03:0.455;2026-04:0.538;2026-05:0.508;2026-06:0.539
THIRD,pref_vh_delta_display,PRIOR_EXHIBITION,705,141,low,0.5046904079271667,20.56737588652482,40.42553191489362,3,5,0.6,2026-02:0.546;2026-03:0.429;2026-04:0.634;2026-05:0.417;2026-06:0.537
THIRD,pref_vh_p2_display,PRIOR_EXHIBITION,705,141,high,0.5044577737538353,19.148936170212767,39.00709219858156,3,5,0.6,2026-02:0.425;2026-03:0.456;2026-04:0.623;2026-05:0.513;2026-06:0.512
THIRD,pref_gh_delta_display,PRIOR_EXHIBITION,705,141,low,0.5015152658316986,21.98581560283688,43.262411347517734,3,5,0.6,2026-02:0.515;2026-03:0.409;2026-04:0.637;2026-05:0.453;2026-06:0.521
