pre_cut,post_cut,n,R,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.38,0.45,9,12,50.0,5,41.66666666666667,2.5794029560826055,120000,124930.0,4930.0,104.10833333333333,9,77.87777777777778,33.33333333333333
0.38,0.45,10,12,50.0,5,41.66666666666667,2.4281440117870496,120000,113790.0,-6210.0,94.825,9,70.18888888888888,33.33333333333333
0.38,0.45,11,12,50.0,6,50.0,2.298236221855358,120000,132540.0,12540.0,110.45,9,94.66666666666667,44.44444444444444
0.38,0.45,12,12,50.0,6,50.0,2.173931485866068,120000,127690.0,7690.0,106.40833333333333,9,91.87777777777778,44.44444444444444
0.38,0.45,13,12,50.0,6,50.0,2.077457557247915,120000,122940.0,2940.0,102.45,9,87.64444444444445,44.44444444444444
0.38,0.45,14,12,50.0,6,50.0,2.006136118557245,120000,113300.0,-6700.0,94.41666666666667,9,79.53333333333333,44.44444444444444
0.38,0.45,15,12,50.0,6,50.0,1.9458669168877165,120000,113300.0,-6700.0,94.41666666666667,9,79.53333333333333,44.44444444444444
0.38,0.45,16,12,50.0,6,50.0,1.8966568926047678,120000,109490.0,-10510.0,91.24166666666666,9,75.3,44.44444444444444
0.38,0.45,17,12,50.0,6,50.0,1.8638400162796576,120000,108550.0,-11450.0,90.45833333333333,9,75.3,44.44444444444444
0.38,0.45,18,12,50.0,6,50.0,1.8346615651289022,120000,106040.0,-13960.0,88.36666666666666,9,72.5111111111111,44.44444444444444
0.38,0.45,19,12,50.0,6,50.0,1.8036144834431236,120000,106040.0,-13960.0,88.36666666666666,9,72.5111111111111,44.44444444444444
0.38,0.45,20,12,50.0,6,50.0,1.7718113029821911,120000,106040.0,-13960.0,88.36666666666666,9,72.5111111111111,44.44444444444444
0.4,0.15,2,20,70.0,5,25.0,8.350758543027625,200000,392990.0,192990.0,196.495,14,139.20714285714286,21.428571428571427
0.4,0.15,3,20,70.0,6,30.0,5.975534911208756,200000,289920.0,89920.0,144.96,14,110.91428571428571,21.428571428571427
0.4,0.15,4,20,70.0,7,35.0,4.715542561793658,200000,263470.0,63470.0,131.735,14,121.75,28.57142857142857
0.4,0.15,5,20,70.0,8,40.0,3.8992148080579745,200000,276140.0,76140.0,138.07,14,138.15714285714284,35.714285714285715
0.4,0.15,6,20,70.0,9,45.0,3.3828547069066004,200000,281490.0,81490.0,140.745,14,123.73571428571428,35.714285714285715
0.4,0.15,7,20,70.0,10,50.0,3.102104892470277,200000,298800.0,98800.0,149.4,14,137.77142857142857,42.857142857142854
0.4,0.15,8,20,70.0,11,55.00000000000001,2.810031028792889,200000,300150.0,100150.0,150.075,14,118.72142857142858,42.857142857142854
0.4,0.15,9,20,70.0,11,55.00000000000001,2.655937812406864,200000,288020.0,88020.0,144.01,14,112.95714285714286,42.857142857142854
0.4,0.15,10,20,70.0,11,55.00000000000001,2.4818015229871326,200000,261480.0,61480.0,130.74,14,101.15714285714286,42.857142857142854
0.4,0.15,11,20,70.0,13,65.0,2.3422886186943073,200000,293630.0,93630.0,146.815,14,126.46428571428571,57.14285714285714
0.4,0.15,12,20,70.0,13,65.0,2.2364041634467338,200000,288780.0,88780.0,144.39,14,124.67142857142858,57.14285714285714
