date,month,race_code,layer,model,n,winner,second,third,head4_win,hit,return_yen,profit_yen,comp_odds,tickets
2026-05-13,2026-05,202605130408,S,v283,8,4,3,5,1,0,0.0,-10000.0,1.8098830956657774,4-1-2|4-1-5|4-2-1|4-2-5|4-1-3|4-2-3|4-3-2|4-1-6
2026-05-13,2026-05,202605130408,S,v283,10,4,3,5,1,0,0.0,-10000.0,1.4847878959310679,4-1-2|4-1-5|4-2-1|4-2-5|4-1-3|4-2-3|4-3-2|4-1-6|4-3-1|4-5-1
2026-05-13,2026-05,202605130408,S,v284,4,4,3,5,1,0,0.0,-10000.0,2.2530748768732387,4-1-2|4-1-5|4-2-1|4-2-5
2026-05-13,2026-05,202605130408,S,v284,6,4,3,5,1,0,0.0,-10000.0,1.9596671953624607,4-1-2|4-1-5|4-2-1|4-2-5|4-1-3|4-3-2
2026-05-13,2026-05,202605130408,S,v284,8,4,3,5,1,0,0.0,-10000.0,1.797002277805548,4-1-2|4-1-5|4-2-1|4-2-5|4-1-3|4-3-2|4-3-1|4-2-3
2026-05-13,2026-05,202605130408,S,v284,10,4,3,5,1,0,0.0,-10000.0,1.567502159102327,4-1-2|4-1-5|4-2-1|4-2-5|4-1-3|4-3-2|4-3-1|4-2-3|4-5-2|4-1-6
2026-05-16,2026-05,202605161910,S,v283,4,1,4,2,0,0,0.0,-10000.0,,
2026-05-16,2026-05,202605161910,S,v283,6,1,4,2,0,0,0.0,-10000.0,,
2026-05-16,2026-05,202605161910,S,v283,8,1,4,2,0,0,0.0,-10000.0,,
2026-05-16,2026-05,202605161910,S,v283,10,1,4,2,0,0,0.0,-10000.0,,
2026-05-16,2026-05,202605161910,S,v284,4,1,4,2,0,0,0.0,-10000.0,,
2026-05-16,2026-05,202605161910,S,v284,6,1,4,2,0,0,0.0,-10000.0,,
2026-05-16,2026-05,202605161910,S,v284,8,1,4,2,0,0,0.0,-10000.0,,
2026-05-16,2026-05,202605161910,S,v284,10,1,4,2,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v283,4,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v283,6,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v283,8,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v283,10,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v284,4,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v284,6,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v284,8,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605170608,S,v284,10,1,4,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v283,4,2,6,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v283,6,2,6,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v283,8,2,6,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v283,10,2,6,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v284,4,2,6,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v284,6,2,6,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v284,8,2,6,3,0,0,0.0,-10000.0,,
2026-05-17,2026-05,202605171007,S,v284,10,2,6,3,0,0,0.0,-10000.0,,
2026-05-18,2026-05,202605181406,A,v283,4,4,1,2,1,0,0.0,-10000.0,7.476138528818417,4-6-5|4-6-1|4-5-1|4-5-3
2026-05-18,2026-05,202605181406,A,v283,6,4,1,2,1,0,0.0,-10000.0,6.559022196974616,4-6-5|4-6-1|4-5-1|4-5-3|4-6-3|4-1-3
2026-05-18,2026-05,202605181406,A,v283,8,4,1,2,1,0,0.0,-10000.0,4.537268915372645,4-6-5|4-6-1|4-5-1|4-5-3|4-6-3|4-1-3|4-1-5|4-2-3
2026-05-18,2026-05,202605181406,A,v283,10,4,1,2,1,0,0.0,-10000.0,3.831158883122064,4-6-5|4-6-1|4-5-1|4-5-3|4-6-3|4-1-3|4-1-5|4-2-3|4-6-2|4-5-2
2026-05-18,2026-05,202605181406,A,v284,4,4,1,2,1,0,0.0,-10000.0,9.406416338766313,4-6-3|4-6-1|4-5-3|4-5-1
2026-05-18,2026-05,202605181406,A,v284,6,4,1,2,1,0,0.0,-10000.0,4.8959307438713715,4-6-3|4-6-1|4-5-3|4-5-1|4-1-5|4-6-5
2026-05-18,2026-05,202605181406,A,v284,8,4,1,2,1,1,40440.0,30440.0,4.067858259897392,4-6-3|4-6-1|4-5-3|4-5-1|4-1-5|4-6-5|4-1-3|4-1-2
2026-05-18,2026-05,202605181406,A,v284,10,4,1,2,1,1,37070.0,27070.0,3.641043651829369,4-6-3|4-6-1|4-5-3|4-5-1|4-1-5|4-6-5|4-1-3|4-1-2|4-2-1|4-2-5
2026-05-19,2026-05,202605191406,A,v283,4,4,1,2,1,0,0.0,-10000.0,10.343086896777805,4-6-5|4-2-5|4-2-3|4-6-2
2026-05-19,2026-05,202605191406,A,v283,6,4,1,2,1,0,0.0,-10000.0,6.59005275003908,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-2-6
2026-05-19,2026-05,202605191406,A,v283,8,4,1,2,1,0,0.0,-10000.0,5.884239042487094,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-2-6|4-3-5|4-6-3
2026-05-19,2026-05,202605191406,A,v283,10,4,1,2,1,0,0.0,-10000.0,3.5772797298062238,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-2-6|4-3-5|4-6-3|4-6-1|4-2-1
2026-05-19,2026-05,202605191406,A,v284,4,4,1,2,1,0,0.0,-10000.0,10.343086896777805,4-6-5|4-2-5|4-2-3|4-6-2
2026-05-19,2026-05,202605191406,A,v284,6,4,1,2,1,0,0.0,-10000.0,8.587987098911487,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-3-5
2026-05-19,2026-05,202605191406,A,v284,8,4,1,2,1,0,0.0,-10000.0,5.503276532002422,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-3-5|4-1-3|4-2-1
2026-05-19,2026-05,202605191406,A,v284,10,4,1,2,1,1,38880.0,28880.0,3.845279856267834,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-3-5|4-1-3|4-2-1|4-3-2|4-1-2
2026-05-19,2026-05,202605191811,A,v283,4,1,2,4,0,0,0.0,-10000.0,,
2026-05-19,2026-05,202605191811,A,v283,6,1,2,4,0,0,0.0,-10000.0,,
2026-05-19,2026-05,202605191811,A,v283,8,1,2,4,0,0,0.0,-10000.0,,
2026-05-19,2026-05,202605191811,A,v283,10,1,2,4,0,0,0.0,-10000.0,,
2026-05-19,2026-05,202605191811,A,v284,4,1,2,4,0,0,0.0,-10000.0,,
2026-05-19,2026-05,202605191811,A,v284,6,1,2,4,0,0,0.0,-10000.0,,
2026-05-19,2026-05,202605191811,A,v284,8,1,2,4,0,0,0.0,-10000.0,,
2026-05-19,2026-05,202605191811,A,v284,10,1,2,4,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605201505,S,v283,4,4,3,2,1,0,0.0,-10000.0,10.857930549775999,4-5-6|4-5-1|4-3-5|4-3-6
2026-05-20,2026-05,202605201505,S,v283,6,4,3,2,1,0,0.0,-10000.0,6.733202811578667,4-5-6|4-5-1|4-3-5|4-3-6|4-5-2|4-5-3
2026-05-20,2026-05,202605201505,S,v283,8,4,3,2,1,0,0.0,-10000.0,5.163545559698397,4-5-6|4-5-1|4-3-5|4-3-6|4-5-2|4-5-3|4-6-5|4-2-5
2026-05-20,2026-05,202605201505,S,v283,10,4,3,2,1,0,0.0,-10000.0,4.272492968383204,4-5-6|4-5-1|4-3-5|4-3-6|4-5-2|4-5-3|4-6-5|4-2-5|4-1-5|4-2-6
2026-05-20,2026-05,202605201505,S,v284,4,4,3,2,1,0,0.0,-10000.0,10.263007055737274,4-5-6|4-5-2|4-3-1|4-3-6
2026-05-20,2026-05,202605201505,S,v284,6,4,3,2,1,0,0.0,-10000.0,6.496761411479144,4-5-6|4-5-2|4-3-1|4-3-6|4-6-5|4-5-1
2026-05-20,2026-05,202605201505,S,v284,8,4,3,2,1,0,0.0,-10000.0,5.577935524223832,4-5-6|4-5-2|4-3-1|4-3-6|4-6-5|4-5-1|4-2-1|4-2-6
2026-05-20,2026-05,202605201505,S,v284,10,4,3,2,1,0,0.0,-10000.0,4.7674606471215215,4-5-6|4-5-2|4-3-1|4-3-6|4-6-5|4-5-1|4-2-1|4-2-6|4-1-6|4-5-3
2026-05-20,2026-05,202605202002,A,v283,4,2,6,5,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605202002,A,v283,6,2,6,5,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605202002,A,v283,8,2,6,5,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605202002,A,v283,10,2,6,5,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605202002,A,v284,4,2,6,5,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605202002,A,v284,6,2,6,5,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605202002,A,v284,8,2,6,5,0,0,0.0,-10000.0,,
2026-05-20,2026-05,202605202002,A,v284,10,2,6,5,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v283,4,5,4,2,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v283,6,5,4,2,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v283,8,5,4,2,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v283,10,5,4,2,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v284,4,5,4,2,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v284,6,5,4,2,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v284,8,5,4,2,0,0,0.0,-10000.0,,
2026-05-25,2026-05,202605251307,A,v284,10,5,4,2,0,0,0.0,-10000.0,,
2026-05-26,2026-05,202605261206,A,v283,4,4,2,5,1,0,0.0,-10000.0,4.574155704764995,4-5-3|4-5-2|4-1-5|4-1-3
2026-05-26,2026-05,202605261206,A,v283,6,4,2,5,1,0,0.0,-10000.0,2.8900286059870615,4-5-3|4-5-2|4-1-5|4-1-3|4-5-1|4-5-6
2026-05-26,2026-05,202605261206,A,v283,8,4,2,5,1,1,24640.0,14640.0,2.4797249388351554,4-5-3|4-5-2|4-1-5|4-1-3|4-5-1|4-5-6|4-2-5|4-3-5
2026-05-26,2026-05,202605261206,A,v283,10,4,2,5,1,1,22400.0,12400.0,2.252433039407321,4-5-3|4-5-2|4-1-5|4-1-3|4-5-1|4-5-6|4-2-5|4-3-5|4-6-5|4-1-2
2026-05-26,2026-05,202605261206,A,v284,4,4,2,5,1,0,0.0,-10000.0,4.574155704764995,4-5-2|4-5-3|4-1-5|4-1-3
2026-05-26,2026-05,202605261206,A,v284,6,4,2,5,1,0,0.0,-10000.0,2.8900286059870615,4-5-2|4-5-3|4-1-5|4-1-3|4-5-6|4-5-1
2026-05-26,2026-05,202605261206,A,v284,8,4,2,5,1,1,24640.0,14640.0,2.3319365605136273,4-5-2|4-5-3|4-1-5|4-1-3|4-5-6|4-5-1|4-1-2|4-2-5
2026-05-26,2026-05,202605261206,A,v284,10,4,2,5,1,1,22400.0,12400.0,2.252433039407321,4-5-2|4-5-3|4-1-5|4-1-3|4-5-6|4-5-1|4-1-2|4-2-5|4-3-5|4-6-5
2026-05-28,2026-05,202605280204,A,v283,4,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605280204,A,v283,6,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605280204,A,v283,8,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605280204,A,v283,10,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605280204,A,v284,4,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605280204,A,v284,6,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605280204,A,v284,8,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605280204,A,v284,10,1,4,3,0,0,0.0,-10000.0,,
2026-05-28,2026-05,202605281008,A,v283,4,4,6,1,1,1,72720.0,62720.0,7.3849643254299595,4-2-6|4-6-5|4-2-1|4-6-1
2026-05-28,2026-05,202605281008,A,v283,6,4,6,1,1,1,48480.0,38480.0,4.722861603095034,4-2-6|4-6-5|4-2-1|4-6-1|4-2-5|4-1-6
2026-05-28,2026-05,202605281008,A,v283,8,4,6,1,1,1,39390.0,29390.0,3.7628243550169973,4-2-6|4-6-5|4-2-1|4-6-1|4-2-5|4-1-6|4-5-6|4-1-5
2026-05-28,2026-05,202605281008,A,v283,10,4,6,1,1,1,30300.0,20300.0,2.8505241008987015,4-2-6|4-6-5|4-2-1|4-6-1|4-2-5|4-1-6|4-5-6|4-1-5|4-6-2|4-1-2
2026-05-28,2026-05,202605281008,A,v284,4,4,6,1,1,1,84840.0,74840.0,8.367217482421683,4-6-1|4-2-5|4-2-1|4-6-5
2026-05-28,2026-05,202605281008,A,v284,6,4,6,1,1,1,54540.0,44540.0,5.45092270180629,4-6-1|4-2-5|4-2-1|4-6-5|4-2-6|4-5-6
2026-05-28,2026-05,202605281008,A,v284,8,4,6,1,1,1,36360.0,26360.0,3.677217787660405,4-6-1|4-2-5|4-2-1|4-6-5|4-2-6|4-5-6|4-1-5|4-1-2
2026-05-28,2026-05,202605281008,A,v284,10,4,6,1,1,1,30300.0,20300.0,2.8505241008987015,4-6-1|4-2-5|4-2-1|4-6-5|4-2-6|4-5-6|4-1-5|4-1-2|4-1-6|4-6-2
2026-05-30,2026-05,202605301108,A,v283,4,4,2,1,1,1,42630.0,32630.0,4.346857632145425,4-2-5|4-2-1|4-5-2|4-5-1
2026-05-30,2026-05,202605301108,A,v283,6,4,2,1,1,1,36540.0,26540.0,3.632470570910263,4-2-5|4-2-1|4-5-2|4-5-1|4-2-3|4-6-5
2026-05-30,2026-05,202605301108,A,v283,8,4,2,1,1,1,28420.0,18420.0,2.919444423280954,4-2-5|4-2-1|4-5-2|4-5-1|4-2-3|4-6-5|4-3-2|4-5-3
2026-05-30,2026-05,202605301108,A,v283,10,4,2,1,1,1,24360.0,14360.0,2.4804475412772993,4-2-5|4-2-1|4-5-2|4-5-1|4-2-3|4-6-5|4-3-2|4-5-3|4-3-5|4-1-5
2026-05-30,2026-05,202605301108,A,v284,4,4,2,1,1,1,42630.0,32630.0,4.346857632145425,4-2-5|4-2-1|4-5-2|4-5-1
2026-05-30,2026-05,202605301108,A,v284,6,4,2,1,1,1,32480.0,22480.0,3.2282913236683153,4-2-5|4-2-1|4-5-2|4-5-1|4-2-3|4-3-5
2026-05-30,2026-05,202605301108,A,v284,8,4,2,1,1,1,30450.0,20450.0,2.9733970293047975,4-2-5|4-2-1|4-5-2|4-5-1|4-2-3|4-3-5|4-1-5|4-6-2
