scope,family,nparam,floor,conf,base_R,base_roi_pct,added_R,added_roi_pct,added_profit_yen,R,roi_pct,profit_yen,head_rate_pct,hit_rate_pct,min_added_month_R,min_added_month_roi_pct,min_combined_month_roi_pct
S+A,JM4_FIXED,2,5.5,0.4,28,310.98214285714283,17,45.37647058823529,-92860.0,45,210.64222222222222,497890.0,48.888888888888886,22.22222222222222,3,0.0,121.06363636363636
S+A,JM4_FIXED,2,5.5,0.45,28,310.98214285714283,3,0.0,-30000.0,31,280.88709677419354,560750.0,58.06451612903226,29.03225806451613,0,0.0,145.56363636363636
S+A,JM4_FIXED,2,5.5,0.5,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,JM4_FIXED,2,5.5,0.55,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.5,0.7,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.5,0.75,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.5,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.5,0.85,28,310.98214285714283,1,0.0,-10000.0,29,300.2586206896552,580750.0,62.06896551724138,31.03448275862069,0,0.0,160.12
S+A,ENT_FIXED,2,5.5,0.9,28,310.98214285714283,3,0.0,-30000.0,31,280.88709677419354,560750.0,58.06451612903226,29.03225806451613,0,0.0,145.56363636363636
S+A,P2R_FIXED,2,6.0,1.25,28,310.98214285714283,40,58.905,-164380.0,68,162.70147058823528,426370.0,42.64705882352941,17.647058823529413,10,0.0,92.38333333333334
S+A,P2R_FIXED,2,6.0,1.5,28,310.98214285714283,33,71.4,-94380.0,61,181.37213114754098,496370.0,44.26229508196721,19.672131147540984,8,0.0,96.4
S+A,P2R_FIXED,2,6.0,1.75,28,310.98214285714283,28,84.15,-44380.0,56,197.56607142857143,546370.0,46.42857142857143,21.428571428571427,5,0.0,105.58095238095238
S+A,P2R_FIXED,2,6.0,2.0,28,310.98214285714283,22,75.31363636363636,-54310.0,50,207.288,536440.0,48.0,22.0,4,0.0,123.17777777777778
S+A,JM4_FIXED,2,6.0,0.3,28,310.98214285714283,49,48.08571428571429,-254380.0,77,143.68441558441558,336370.0,38.961038961038966,15.584415584415584,14,0.0,79.18571428571428
S+A,JM4_FIXED,2,6.0,0.35,28,310.98214285714283,37,63.68108108108108,-134380.0,65,170.21076923076924,456370.0,40.0,18.461538461538463,11,0.0,116.69473684210526
S+A,JM4_FIXED,2,6.0,0.4,28,310.98214285714283,15,51.42666666666667,-72860.0,43,220.43953488372094,517890.0,51.162790697674424,23.25581395348837,3,0.0,121.06363636363636
S+A,JM4_FIXED,2,6.0,0.45,28,310.98214285714283,3,0.0,-30000.0,31,280.88709677419354,560750.0,58.06451612903226,29.03225806451613,0,0.0,145.56363636363636
S+A,JM4_FIXED,2,6.0,0.5,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,JM4_FIXED,2,6.0,0.55,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.0,0.7,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.0,0.75,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.0,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.0,0.85,28,310.98214285714283,1,0.0,-10000.0,29,300.2586206896552,580750.0,62.06896551724138,31.03448275862069,0,0.0,160.12
S+A,ENT_FIXED,2,6.0,0.9,28,310.98214285714283,3,0.0,-30000.0,31,280.88709677419354,560750.0,58.06451612903226,29.03225806451613,0,0.0,145.56363636363636
S+A,P2R_FIXED,2,6.5,1.25,28,310.98214285714283,32,73.63125,-84380.0,60,184.395,506370.0,45.0,20.0,9,0.0,110.86
S+A,P2R_FIXED,2,6.5,1.5,28,310.98214285714283,25,94.248,-14380.0,53,208.7490566037736,576370.0,47.16981132075472,22.641509433962266,7,0.0,116.69473684210526
S+A,P2R_FIXED,2,6.5,1.75,28,310.98214285714283,20,117.81,35620.0,48,230.49375,626370.0,50.0,25.0,4,0.0,130.42352941176472
