combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,period,race_code,return,stake,train_pair_count
3-2-5,0.01249428036194869,2026-08-27,2.5838171788509894,0,0.027547095677611114,3攻め頭,206.8,0.0472420588387423,latest_month,202608271511,0,200,2
3-5-4,0.012211812111777418,2026-08-27,3.2703232835339926,0,0.021272365146116426,3攻め頭,267.8,0.04617401959933896,latest_month,202608271511,0,200,2
3-4-6,0.012050129356083124,2026-08-27,3.8825516785299827,0,0.0176807553883612,3攻め頭,322.2,0.045562681768231694,latest_month,202608271511,0,200,2
3-6-2,0.011536382572539874,2026-08-27,10.484264481924237,0,0.0062684192188930225,3攻め頭,908.8,0.0436201564627903,latest_month,202608271511,0,200,2
3-2-1,0.007727418153940289,2026-08-27,0.9435177565961093,0,0.046656342228746754,3攻め頭,122.1,0.02921810080489306,latest_month,202608271511,0,200,1
3-2-4,0.007171042277058924,2026-08-27,1.1911101222194873,0,0.03429704627411185,3攻め頭,166.1,0.027114390855167966,latest_month,202608271511,0,200,1
3-5-2,0.006495828697003231,2026-08-27,1.9175686313553537,0,0.0192978976494918,3攻め頭,295.2,0.024561344280764556,latest_month,202608271511,0,200,1
3-2-6,0.0007133489346070514,2026-08-27,0.25644894199123497,0,0.01584628480147421,3攻め頭,359.5,0.0026972399662083756,latest_month,202608271511,0,100,0
3-5-6,0.0005961156252701882,2026-08-27,0.25644894199123497,0,0.013242072027266339,3攻め頭,430.2,0.002253969706768738,latest_month,202608271511,0,100,0
3-6-1,0.0005009746864450772,2026-08-27,0.25644894199123497,0,0.011128617671674114,3攻め頭,511.9,0.0018942327951785721,latest_month,202608271511,0,100,0
3-6-4,0.00037410494820019696,2026-08-27,0.256448941991235,0,0.008310341919956206,3攻め頭,685.5,0.0014145262842478645,latest_month,202608271511,0,100,0
3-6-5,0.0003614502353646723,2026-08-27,0.25644894199123497,0,0.00802923098820293,3攻め頭,709.5,0.0013666776150132644,latest_month,202608271511,0,100,0
3-1-5,0.05233227954953307,2026-08-28,0.8111503330177625,0,0.1196586167740834,3攻め頭,15.5,0.19058019008920568,latest_month,202608280703,0,1300,8
3-1-2,0.03387283793757803,2026-08-28,0.6300347856389514,0,0.09971551397840284,3攻め頭,18.6,0.12335583216653666,latest_month,202608280703,0,900,5
3-1-4,0.020369545249856454,2026-08-28,0.6212711301206219,0,0.060810116721255504,3攻め頭,30.5,0.07418044539936264,latest_month,202608280703,0,600,3
3-4-1,0.018969709431043803,2026-08-28,1.1400795368057326,0,0.030860375374347635,3攻め頭,60.1,0.06908261708499534,latest_month,202608280703,0,600,3
3-1-6,0.018398548659800028,2026-08-28,1.8306555916501028,0,0.01864028703515872,3攻め頭,99.5,0.06700260204853765,latest_month,202608280703,0,500,3
3-4-6,0.012059336847344474,2026-08-28,2.791736480160246,0,0.008011700043189171,3攻め頭,231.5,0.04391688511373433,latest_month,202608280703,0,400,2
3-6-2,0.01191530502790173,2026-08-28,4.482537751496631,0,0.004930113131308594,3攻め頭,376.2,0.04339235968192487,latest_month,202608280703,0,400,2
3-2-6,0.0005257012947393453,2026-08-28,0.08668814350251804,0,0.011247474590650654,3攻め頭,164.9,0.0019144637601107497,latest_month,202608280703,0,100,0
3-5-6,0.000504294028519593,2026-08-28,0.08668814350251804,0,0.010789462245481635,3攻め頭,171.9,0.001836504211996874,latest_month,202608280703,0,100,0
3-6-5,0.00018723141145252277,2026-08-28,0.08668814350251804,0,0.0040058500215945855,3攻め頭,463.0,0.0006818468121863124,latest_month,202608280703,0,100,0
