policy,month,cut,switch,races,head3,head_rate,hits,hit_rate,coverage,investment,return_yen,roi
p3>=0.25_7to10@0.40,2026-08,0.25,0.4,264,93,35.22727272727273,57,21.59090909090909,61.29032258064516,186800,144300.0,77.24839400428266
p3>=0.25_7to10@0.45,2026-06,0.25,0.45,196,68,34.69387755102041,37,18.877551020408163,54.411764705882355,138400,91230.0,65.91763005780346
p3>=0.25_7to10@0.45,2026-07,0.25,0.45,236,72,30.508474576271187,53,22.45762711864407,73.61111111111111,165500,195160.0,117.9214501510574
p3>=0.25_7to10@0.45,2026-08,0.25,0.45,264,93,35.22727272727273,57,21.59090909090909,61.29032258064516,185300,144300.0,77.87371829465731
p3>=0.25_7to10@0.50,2026-06,0.25,0.5,196,68,34.69387755102041,37,18.877551020408163,54.411764705882355,137800,91230.0,66.20464441219158
p3>=0.25_7to10@0.50,2026-07,0.25,0.5,236,72,30.508474576271187,53,22.45762711864407,73.61111111111111,165500,195160.0,117.9214501510574
p3>=0.25_7to10@0.50,2026-08,0.25,0.5,264,93,35.22727272727273,57,21.59090909090909,61.29032258064516,184400,144300.0,78.25379609544468
p3>=0.30_7pt,2026-06,0.3,,73,30,41.0958904109589,15,20.54794520547945,50.0,51100,32290.0,63.18982387475538
p3>=0.30_7pt,2026-07,0.3,,87,26,29.885057471264368,19,21.839080459770116,73.07692307692308,60900,78760.0,129.32676518883414
p3>=0.30_7pt,2026-08,0.3,,110,48,43.63636363636363,27,24.545454545454547,56.25,76300,68960.0,90.38007863695937
p3>=0.30_10pt,2026-06,0.3,,73,30,41.0958904109589,22,30.136986301369863,73.33333333333333,73000,66550.0,91.16438356164383
p3>=0.30_10pt,2026-07,0.3,,87,26,29.885057471264368,23,26.436781609195403,88.46153846153847,87000,101200.0,116.32183908045977
p3>=0.30_10pt,2026-08,0.3,,110,48,43.63636363636363,34,30.90909090909091,70.83333333333333,109000,109960.0,100.88073394495413
p3>=0.30_7to10@0.35,2026-06,0.3,0.35,73,30,41.0958904109589,15,20.54794520547945,50.0,58600,32290.0,55.10238907849829
