pre_cut,post_cut,target_comp,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct
0.15,0.24,13.5,207,2.217391304347826,9.06400251044963,11.11111111111111,88.35072463768115,-241140.0,170,81.57941176470588
0.15,0.24,14.0,207,2.2028985507246377,9.110305563223529,11.11111111111111,88.35072463768115,-241140.0,170,81.57941176470588
0.15,0.24,14.5,207,2.1739130434782608,9.239130400644022,11.11111111111111,90.5159420289855,-196320.0,170,84.21588235294118
0.15,0.24,15.0,207,2.140096618357488,9.379669274937607,11.11111111111111,90.5159420289855,-196320.0,170,84.21588235294118
0.15,0.25,10.0,190,2.6,7.976434216429154,12.631578947368421,99.3378947368421,-12580.0,155,93.25225806451613
0.15,0.25,10.5,190,2.5157894736842104,8.188074915966821,12.631578947368421,101.99631578947368,37930.0,155,96.51096774193549
0.15,0.25,11.0,190,2.4526315789473685,8.388654361539052,12.631578947368421,101.99631578947368,37930.0,155,96.51096774193549
0.15,0.25,11.5,190,2.4,8.515667534755988,12.105263157894736,96.39894736842105,-68420.0,155,89.64967741935484
0.15,0.25,12.0,190,2.3526315789473684,8.703423292820105,12.105263157894736,97.43789473684211,-48680.0,155,90.92322580645161
0.15,0.25,12.5,190,2.294736842105263,8.92887111705995,12.105263157894736,97.43789473684211,-48680.0,155,90.92322580645161
0.15,0.25,13.0,190,2.263157894736842,8.995167131126166,12.105263157894736,97.43789473684211,-48680.0,155,90.92322580645161
0.15,0.25,13.5,190,2.221052631578947,9.159285969128858,11.578947368421053,92.01578947368421,-151700.0,155,84.27677419354839
0.15,0.25,14.0,190,2.205263157894737,9.209731926624631,11.578947368421053,92.01578947368421,-151700.0,155,84.27677419354839
0.15,0.25,14.5,190,2.1736842105263157,9.350083196866958,11.578947368421053,94.37473684210526,-106880.0,155,87.1683870967742
0.15,0.25,15.0,190,2.142105263157895,9.492479702534839,11.578947368421053,94.37473684210526,-106880.0,155,87.1683870967742
0.15,0.26,10.0,172,2.5755813953488373,8.010721072263506,11.046511627906977,83.49593023255814,-283870.0,139,71.51942446043165
0.15,0.26,10.5,172,2.494186046511628,8.21718217658738,11.046511627906977,86.43255813953489,-233360.0,139,75.15323741007194
0.15,0.26,11.0,172,2.4302325581395348,8.43040229370003,11.046511627906977,86.43255813953489,-233360.0,139,75.15323741007194
0.15,0.26,11.5,172,2.377906976744186,8.560315912948905,11.046511627906977,86.43255813953489,-233360.0,139,75.15323741007194
0.15,0.26,12.0,172,2.3313953488372094,8.756551887944854,11.046511627906977,87.58023255813953,-213620.0,139,76.57338129496402
0.15,0.26,12.5,172,2.2732558139534884,8.972699162691555,11.046511627906977,87.58023255813953,-213620.0,139,76.57338129496402
0.15,0.26,13.0,172,2.244186046511628,9.038133888658948,11.046511627906977,87.58023255813953,-213620.0,139,76.57338129496402
0.15,0.26,13.5,172,2.203488372093023,9.197148532463588,10.465116279069768,81.5906976744186,-316640.0,139,69.16187050359713
0.15,0.26,14.0,172,2.186046511627907,9.252873718069388,10.465116279069768,81.5906976744186,-316640.0,139,69.16187050359713
0.15,0.26,14.5,172,2.1511627906976742,9.407912911941725,10.465116279069768,84.19651162790697,-271820.0,139,72.38633093525179
0.15,0.26,15.0,172,2.127906976744186,9.515673747546208,10.465116279069768,84.19651162790697,-271820.0,139,72.38633093525179
0.15,0.27,10.0,152,2.5592105263157894,7.968168949199738,11.842105263157894,87.49144736842105,-190130.0,122,72.77540983606558
0.15,0.27,10.5,152,2.473684210526316,8.19456105925932,11.842105263157894,90.81447368421053,-139620.0,122,76.9155737704918
0.15,0.27,11.0,152,2.414473684210526,8.391598483526371,11.842105263157894,90.81447368421053,-139620.0,122,76.9155737704918
0.15,0.27,11.5,152,2.3684210526315788,8.501093444329928,11.842105263157894,90.81447368421053,-139620.0,122,76.9155737704918
0.15,0.27,12.0,152,2.3223684210526314,8.67233841777445,11.842105263157894,92.11315789473684,-119880.0,122,78.53360655737706
0.15,0.27,12.5,152,2.276315789473684,8.819865410425628,11.842105263157894,92.11315789473684,-119880.0,122,78.53360655737706
0.15,0.27,13.0,152,2.2434210526315788,8.893909968757153,11.842105263157894,92.11315789473684,-119880.0,122,78.53360655737706
0.15,0.27,13.5,152,2.2039473684210527,9.062374854913745,11.18421052631579,85.33552631578948,-222900.0,122,70.08934426229509
0.15,0.27,14.0,152,2.1842105263157894,9.125432301783464,11.18421052631579,85.33552631578948,-222900.0,122,70.08934426229509
0.15,0.27,14.5,152,2.1447368421052633,9.300871389586371,11.18421052631579,88.28421052631579,-178080.0,122,73.76311475409837
0.15,0.27,15.0,152,2.1184210526315788,9.422811282507235,11.18421052631579,88.28421052631579,-178080.0,122,73.76311475409837
0.15,0.28,10.0,136,2.5220588235294117,7.9070506810334225,13.23529411764706,97.78455882352941,-30130.0,107,82.97757009345794
0.15,0.28,10.5,136,2.4411764705882355,8.114950093561292,13.23529411764706,101.49852941176471,20380.0,107,87.6981308411215
0.15,0.28,11.0,136,2.389705882352941,8.279593764791665,13.23529411764706,101.49852941176471,20380.0,107,87.6981308411215
0.15,0.28,11.5,136,2.338235294117647,8.401970485689757,13.23529411764706,101.49852941176471,20380.0,107,87.6981308411215
0.15,0.28,12.0,136,2.286764705882353,8.593361926598341,13.23529411764706,102.95,40120.0,107,89.54299065420561
0.15,0.28,12.5,136,2.2573529411764706,8.662254626153711,13.23529411764706,102.95,40120.0,107,89.54299065420561
0.15,0.28,13.0,136,2.235294117647059,8.698250578463073,13.23529411764706,102.95,40120.0,107,89.54299065420561
0.15,0.28,13.5,136,2.198529411764706,8.83093800456295,12.5,95.375,-62900.0,107,79.91495327102804
0.15,0.28,14.0,136,2.1838235294117645,8.877599549796647,12.5,95.375,-62900.0,107,79.91495327102804
0.15,0.28,14.5,136,2.1470588235294117,9.051130921317599,12.5,98.67058823529412,-18080.0,107,84.103738317757
