month,date,race_code,p2_concentration,p2_top1,p2_top2mass,p2_ratio,p2_margin,p2_probs,nfeat2,calibration_domain,layer
2026-05,2026-05-02,202605022307,0.19018831234895395,0.519946652445956,0.711435482398085,2.7152845028920973,0.32845782249382693,1:0.519946652446|2:0.153461073753|3:0.191488829952|5:0.0857322887931|6:0.0493711550562,25,0,S
2026-05,2026-05-03,202605030105,0.1864849134556843,0.5200374648980891,0.7157759113141325,2.6567977544521115,0.3242990184820457,1:0.140340226093|2:0.195738446416|3:0.0893267384916|5:0.520037464898|6:0.0545571241017,25,0,S
2026-05,2026-05-03,202605030708,0.5810440003812027,0.8325756712480672,0.8981399733009301,12.698612586110997,0.7670113691952043,1:0.832575671248|2:0.0268208202622|3:0.0409471240198|5:0.034092082417|6:0.0655643020529,25,0,S
2026-05,2026-05-03,202605030805,0.061953840856657005,0.3440349959024508,0.6169766864555909,1.2604706712456932,0.07109330534931069,1:0.122769141821|2:0.272941690553|3:0.129990210607|5:0.130263961116|6:0.344034995902,25,0,A
2026-05,2026-05-03,202605032307,0.013629122965427953,0.24727955414786149,0.4761388184713148,1.0804874116801069,0.01842028982440816,1:0.168802546097|2:0.247279554148|3:0.228859264323|5:0.218534585516|6:0.136524049916,25,0,S
2026-05,2026-05-04,202605040202,0.21814205741070802,0.49305245195787006,0.7718442303464752,1.7685329704042023,0.21426067356926487,1:0.0259098884043|2:0.493052451958|3:0.0799050655255|5:0.122340815724|6:0.278791778389,25,0,S
2026-05,2026-05-04,202605040701,0.14250693630267586,0.48411561178609824,0.6532523387485893,2.862273738414359,0.31497888482360714,1:0.16341253671|2:0.484115611786|3:0.169136726962|5:0.114580115465|6:0.068755009076,25,0,A
2026-05,2026-05-04,202605040705,0.31339310729481595,0.6497651269293072,0.7927202696045862,4.545237861118726,0.5068099842540282,1:0.649765126929|2:0.0912700697097|3:0.0686686080707|5:0.142955142675|6:0.047341052615,25,0,S
2026-05,2026-05-05,202605050202,0.044851491611980654,0.2887993763501292,0.5425240070423687,1.1382394194926797,0.035074745657889705,1:0.253724630692|2:0.0876397813219|3:0.149018215958|5:0.220817995677|6:0.28879937635,25,0,S
2026-05,2026-05-05,202605050702,0.10610499060937306,0.3944965562612422,0.6818612238382094,1.3728081450917446,0.10713188868427498,1:0.287364667577|2:0.394496556261|3:0.0993865228363|5:0.113600344559|6:0.105151908767,25,0,S
2026-05,2026-05-05,202605050904,0.08582453269519208,0.3307443754545454,0.5867863081539328,1.2917586270638892,0.07470244275515797,1:0.330744375455|2:0.203258299181|3:0.168025803952|5:0.256041932699|6:0.0419295887133,25,0,S
2026-05,2026-05-05,202605051303,0.11361663028881919,0.4065905434354376,0.6857393364936177,1.4565369922652547,0.12744175037725752,1:0.128670235125|2:0.406590543435|3:0.100142086104|5:0.279148793058|6:0.0854483422771,25,0,S
2026-05,2026-05-09,202605091805,0.14522030375675699,0.49369892553544553,0.6711786110602924,2.7817207590573982,0.31621924001059865,1:0.177479685525|2:0.082186917092|3:0.111330949737|5:0.135303522111|6:0.493698925535,25,0,S
2026-05,2026-05-10,202605102010,0.28307517625563394,0.6330907779198269,0.7657136077310532,4.773618379437089,0.5004679481086006,1:0.63309077792|2:0.0867761228678|3:0.0701696073009|5:0.0773406621002|6:0.132622829811,25,0,A
2026-05,2026-05-11,202605111606,0.2223385322694461,0.4552961873314869,0.7507596488280451,1.5409559781956002,0.1598327258349287,1:0.184944357657|2:0.295463461497|3:0.0326045984611|5:0.455296187331|6:0.0316913950543,25,0,S
2026-05,2026-05-11,202605112308,0.07833631248913386,0.3772227425696398,0.6333301472377608,1.4729083802105096,0.12111533790151868,1:0.37722274257|2:0.256107404668|3:0.119249072501|5:0.101772096445|6:0.145648683817,25,0,S
2026-05,2026-05-13,202605130408,0.3218705055708243,0.6516725445082345,0.8018771673067302,4.338565167747693,0.5014679217097389,1:0.651672544508|2:0.150204622798|3:0.0887382780118|5:0.071427258239|6:0.0379572964425,25,0,S
2026-05,2026-05-16,202605161910,0.21306024446253857,0.55743846010293,0.7172596629182486,3.487888029143905,0.3976172572876113,1:0.557438460103|2:0.142277168228|3:0.0842171842791|5:0.159821202815|6:0.0562459845747,25,0,S
2026-05,2026-05-17,202605170608,0.43273343871433345,0.735587866023082,0.8440274448365668,6.78338918383561,0.6271482872095973,1:0.735587866023|2:0.0314006577829|3:0.0847700783193|5:0.108439578813|6:0.0398018190612,25,0,S
2026-05,2026-05-17,202605171007,0.10232290467742844,0.3503761004404493,0.6499347032813361,1.169641255893274,0.050817497599562556,1:0.0526669729007|2:0.177546990146|3:0.119851333672|5:0.35037610044|6:0.299558602841,25,0,S
2026-05,2026-05-18,202605181406,0.07926224980478613,0.3535939051220509,0.602938020721797,1.4180960487940664,0.10424978952230479,1:0.191315319632|2:0.143358457777|3:0.0623882018692|5:0.2493441156|6:0.353593905122,25,0,A
