model,score,bin,R,heads,mean_pred,head_rate,wilson_lo,wilson_hi
LR_V109_FULL_POST,p_raw,"[0.95, 1.0)",1,1,0.9533020400562658,1.0,0.20654931437723745,1.0
LR_V109_FULL_POST,p_cal,"[0.0, 0.5)",7993,2781,0.3460884153269968,0.34792943825847616,0.3375626842170507,0.35844229318330123
LR_V109_FULL_POST,p_cal,"[0.5, 0.6)",3436,1894,0.5520025196298733,0.5512223515715948,0.5345440217405385,0.5677862758077324
LR_V109_FULL_POST,p_cal,"[0.6, 0.7)",4228,2736,0.6511656360479461,0.6471144749290445,0.6325826866767026,0.6613791765228396
LR_V109_FULL_POST,p_cal,"[0.7, 0.75)",2105,1495,0.7247453702836621,0.7102137767220903,0.6904646501923707,0.7291970537722837
LR_V109_FULL_POST,p_cal,"[0.75, 0.8)",1820,1364,0.7741596034268351,0.7494505494505495,0.7290310460417988,0.7688192444034672
LR_V109_FULL_POST,p_cal,"[0.8, 0.85)",1338,1067,0.822925618038421,0.79745889387145,0.7750870112405107,0.8181276303011075
LR_V109_FULL_POST,p_cal,"[0.85, 0.9)",652,559,0.870940799964881,0.8573619631901841,0.828423218887419,0.8821143565167666
LR_V109_FULL_POST,p_cal,"[0.9, 0.95)",118,100,0.9150694097263276,0.847457627118644,0.771728055334007,0.901277675175785
LR_V109_FULL_POST,p_cal,"[0.95, 1.0)",2,2,0.9595873146196475,1.0,0.34238022750665303,1.0
