date,month,race_code,layer,model,n,winner,head4_win,hit,return_yen,profit_yen,comp_odds,p2_concentration,tickets,policy
2026-04-23,2026-04,202604230507,A,v284,8,4,1,1,47160.0,37160.0,4.826329264256066,0.0892283278309629,4-5-6|4-3-5|4-3-2|4-5-2|4-6-5|4-2-5|4-1-5|4-2-6,VARIABLE_v284
2026-04-23,2026-04,202604231808,A,v284,6,5,0,0,0.0,-10000.0,,0.13803772915966617,,VARIABLE_v284
2026-04-24,2026-04,202604240706,S,v284,6,2,0,0,0.0,-10000.0,,0.18139879764939182,,VARIABLE_v284
2026-04-24,2026-04,202604242308,S,v284,8,2,0,0,0.0,-10000.0,,0.06596929405609409,,VARIABLE_v284
2026-04-25,2026-04,202604250705,A,v284,10,4,1,1,38880.0,28880.0,3.9495124058402555,0.0321335689027471,4-1-5|4-2-3|4-2-5|4-1-2|4-6-1|4-5-1|4-1-6|4-2-6|4-2-1|4-1-3,VARIABLE_v284
2026-04-25,2026-04,202604250708,S,v284,4,4,1,0,0.0,-10000.0,4.183937472738847,0.22033936429124734,4-1-2|4-1-5|4-6-1|4-6-5,VARIABLE_v284
2026-04-25,2026-04,202604252307,S,v284,10,4,1,1,48330.0,38330.0,4.973113499805386,0.050888255711129204,4-2-1|4-5-6|4-2-3|4-5-1|4-2-5|4-6-5|4-1-2|4-1-5|4-3-2|4-3-1,VARIABLE_v284
2026-04-27,2026-04,202604270602,A,v284,8,4,1,1,42900.0,32900.0,4.109240043454943,0.09285926954731549,4-1-2|4-2-1|4-1-5|4-2-3|4-5-6|4-1-6|4-1-3|4-6-1,VARIABLE_v284
2026-04-27,2026-04,202604271607,S,v284,10,1,0,0,0.0,-10000.0,,0.03691904405899582,,VARIABLE_v284
2026-04-28,2026-04,202604280603,S,v284,6,3,0,0,0.0,-10000.0,,0.16248498961177438,,VARIABLE_v284
2026-04-28,2026-04,202604280707,S,v284,6,4,1,1,82170.0,72170.0,8.276452279170705,0.15081380616325923,4-1-5|4-3-5|4-1-3|4-3-6|4-1-6|4-2-5,VARIABLE_v284
2026-04-28,2026-04,202604280709,S,v284,8,4,1,1,52640.0,42640.0,5.42912899076482,0.10574593231811891,4-1-6|4-1-5|4-6-5|4-6-1|4-1-2|4-5-6|4-2-6|4-3-2,VARIABLE_v284
2026-04-28,2026-04,202604280806,A,v284,6,1,0,0,0.0,-10000.0,,0.1870417125049939,,VARIABLE_v284
2026-04-29,2026-04,202604290306,A,v284,8,5,0,0,0.0,-10000.0,,0.07741935293046132,,VARIABLE_v284
2026-04-29,2026-04,202604291402,A,v284,4,1,0,0,0.0,-10000.0,,0.23108215433198231,,VARIABLE_v284
2026-05-01,2026-05,202605012306,S,v284,4,1,0,0,0.0,-10000.0,,0.22003886003756012,,VARIABLE_v284
2026-05-02,2026-05,202605020202,S,v284,4,5,0,0,0.0,-10000.0,,0.19450670412017668,,VARIABLE_v284
2026-05-02,2026-05,202605021103,S,v284,6,4,1,1,33300.0,23300.0,3.2803829908559017,0.1670240075798729,4-1-5|4-1-2|4-5-1|4-5-2|4-1-3|4-2-5,VARIABLE_v284
2026-05-02,2026-05,202605022307,S,v284,6,1,0,0,0.0,-10000.0,,0.19018831234895395,,VARIABLE_v284
2026-05-03,2026-05,202605030105,S,v284,6,1,0,0,0.0,-10000.0,,0.1864849134556843,,VARIABLE_v284
2026-05-03,2026-05,202605030708,S,v284,4,1,0,0,0.0,-10000.0,,0.5810440003812027,,VARIABLE_v284
