family,param,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct
FIXED,4,12.5,2026-04,0,0.0,0.0,,,
FIXED,4,12.5,2026-05,0,0.0,0.0,,,
FIXED,4,12.5,2026-06,0,0.0,0.0,,,
FIXED,4,13.0,2026-04,0,0.0,0.0,,,
FIXED,4,13.0,2026-05,0,0.0,0.0,,,
FIXED,4,13.0,2026-06,0,0.0,0.0,,,
FIXED,4,13.5,2026-04,0,0.0,0.0,,,
FIXED,4,13.5,2026-05,0,0.0,0.0,,,
FIXED,4,13.5,2026-06,0,0.0,0.0,,,
FIXED,4,14.0,2026-04,0,0.0,0.0,,,
FIXED,4,14.0,2026-05,0,0.0,0.0,,,
FIXED,4,14.0,2026-06,0,0.0,0.0,,,
FIXED,4,14.5,2026-04,0,0.0,0.0,,,
FIXED,4,14.5,2026-05,0,0.0,0.0,,,
FIXED,4,14.5,2026-06,0,0.0,0.0,,,
FIXED,4,15.0,2026-04,0,0.0,0.0,,,
FIXED,4,15.0,2026-05,0,0.0,0.0,,,
FIXED,4,15.0,2026-06,0,0.0,0.0,,,
FIXED,5,4.0,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,5,4.0,2026-05,2,53640.0,33640.0,268.2,50.0,50.0
FIXED,5,4.0,2026-06,8,47520.00000000001,-32479.999999999993,59.40000000000001,37.5,12.5
FIXED,5,4.5,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,5,4.5,2026-05,2,53640.0,33640.0,268.2,50.0,50.0
FIXED,5,4.5,2026-06,7,47520.00000000001,-22479.999999999993,67.8857142857143,28.57142857142857,14.285714285714285
FIXED,5,5.0,2026-04,3,0.0,-30000.0,0.0,0.0,0.0
FIXED,5,5.0,2026-05,2,53640.0,33640.0,268.2,50.0,50.0
FIXED,5,5.0,2026-06,3,0.0,-30000.0,0.0,0.0,0.0
FIXED,5,5.5,2026-04,0,0.0,0.0,,,
FIXED,5,5.5,2026-05,0,0.0,0.0,,,
FIXED,5,5.5,2026-06,0,0.0,0.0,,,
FIXED,5,6.0,2026-04,0,0.0,0.0,,,
FIXED,5,6.0,2026-05,0,0.0,0.0,,,
FIXED,5,6.0,2026-06,0,0.0,0.0,,,
FIXED,5,6.5,2026-04,0,0.0,0.0,,,
FIXED,5,6.5,2026-05,0,0.0,0.0,,,
FIXED,5,6.5,2026-06,0,0.0,0.0,,,
FIXED,5,7.0,2026-04,0,0.0,0.0,,,
FIXED,5,7.0,2026-05,0,0.0,0.0,,,
FIXED,5,7.0,2026-06,0,0.0,0.0,,,
FIXED,5,7.5,2026-04,0,0.0,0.0,,,
FIXED,5,7.5,2026-05,0,0.0,0.0,,,
FIXED,5,7.5,2026-06,0,0.0,0.0,,,
FIXED,5,8.0,2026-04,0,0.0,0.0,,,
FIXED,5,8.0,2026-05,0,0.0,0.0,,,
FIXED,5,8.0,2026-06,0,0.0,0.0,,,
FIXED,5,8.5,2026-04,0,0.0,0.0,,,
FIXED,5,8.5,2026-05,0,0.0,0.0,,,
FIXED,5,8.5,2026-06,0,0.0,0.0,,,
FIXED,5,9.0,2026-04,0,0.0,0.0,,,
FIXED,5,9.0,2026-05,0,0.0,0.0,,,
FIXED,5,9.0,2026-06,0,0.0,0.0,,,
FIXED,5,9.5,2026-04,0,0.0,0.0,,,
