actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return_kelly,score,stake_kelly
1-6-5,A,3-4-1,0.008302185314430215,0.041172129608770924,2026-08-19,1.5566597464556653,3,0.20164575875282378,0,0.0029847707584754173,3まくり,187.5,2000,test,202608190909,0,56.937,100
1-6-5,A,3-4-2,0.003567790866836475,0.017693359329267383,2026-08-19,1.6511736131719206,3,0.20164575875282378,0,0.0014100771181721969,3まくり,462.8,2000,test,202608190909,0,56.937,100
1-6-5,A,3-4-5,0.005468811230542691,0.02712088399164561,2026-08-19,1.7232224187440022,3,0.20164575875282378,0,0.0023025228231263995,3まくり,315.1,2000,test,202608190909,0,56.937,100
1-6-5,A,3-4-6,0.00628120413990605,0.031149696273084095,2026-08-19,2.2147525797308734,3,0.20164575875282378,0,0.0034549277011685815,3まくり,352.6,2000,test,202608190909,0,56.937,100
1-6-5,A,3-5-4,0.005934592077802207,0.029430780565421148,2026-08-19,2.04387351159508,3,0.20164575875282378,0,0.003039818030271055,3まくり,344.4,2000,test,202608190909,0,56.937,100
1-6-5,A,3-6-4,0.004726103244259169,0.0234376526116396,2026-08-19,1.5908063520176363,3,0.20164575875282378,0,0.0017604480095877123,3まくり,336.6,2000,test,202608190909,0,56.937,100
1-2-5,A,3-4-1,0.008587167537792218,0.04192688171251194,2026-08-19,1.5439727232950409,3,0.20481293115651888,0,0.0030423530385628684,3まくり,179.8,1220,test,202608191008,0,55.711333333333336,100
1-2-5,A,3-4-5,0.0068068819003982714,0.03323462958106109,2026-08-19,1.409705241572482,3,0.20481293115651888,0,0.0019878953982167976,3まくり,207.1,1220,test,202608191008,0,55.711333333333336,100
1-2-5,A,3-4-6,0.00592265366940052,0.028917381514716976,2026-08-19,1.7613972012797146,3,0.20481293115651888,0,0.0025688164685550427,3まくり,297.4,1220,test,202608191008,0,55.711333333333336,100
1-3-6,A,3-4-1,0.005873241720817372,0.025804514386908423,2026-08-19,2.31934315555078,3,0.2276052024368683,0,0.0033494368000781425,3まくり,394.9,480,test,202608191105,0,66.20400000000001,100
1-3-6,A,3-4-2,0.0036891814786654278,0.016208686968342517,2026-08-19,1.7567882201404768,3,0.2276052024368683,0,0.001592567803325919,3まくり,476.2,480,test,202608191105,0,66.20400000000001,100
1-3-6,A,3-4-5,0.0032656541181645903,0.014347888726622569,2026-08-19,1.5551044910699778,3,0.2276052024368683,0,0.0011681491815445661,3まくり,476.2,480,test,202608191105,0,66.20400000000001,100
1-3-6,A,3-4-6,0.006974839157086043,0.030644462790874388,2026-08-19,1.8818116045818145,3,0.2276052024368683,0,0.003280549124188298,3まくり,269.8,480,test,202608191105,0,66.20400000000001,100
1-3-6,A,3-5-1,0.004578028966815774,0.020113903011885672,2026-08-19,1.7236279060061388,3,0.2276052024368683,0,0.0019271049427593576,3まくり,376.5,480,test,202608191105,0,66.20400000000001,100
1-3-6,A,3-5-2,0.002812308706478659,0.01235608270974702,2026-08-19,1.4685876065231558,3,0.2276052024368683,0,0.0008990552696146503,3まくり,522.2,480,test,202608191105,0,66.20400000000001,100
1-3-6,A,3-5-4,0.003551998715686848,0.015605964528302376,2026-08-19,1.5973338224443756,3,0.2276052024368683,0,0.001331254340192502,3まくり,449.7,480,test,202608191105,0,66.20400000000001,100
1-3-6,A,3-5-6,0.004516014831277553,0.019841439400007464,2026-08-19,1.8745977564633125,3,0.2276052024368683,0,0.0021120448115511045,3まくり,415.1,480,test,202608191105,0,66.20400000000001,100
5-1-4,A,5-1-2,0.027226138901088593,0.2722613890108859,2026-08-19,1.5600577590323763,5,0.1,0,0.0099477399472891,5頭展開,57.3,3300,test,202608191802,0,75.51,100
5-1-4,A,5-1-6,0.0033649000963880864,0.03364900096388086,2026-08-19,1.4970440528830595,5,0.1,0,0.001119720776938634,5頭展開,444.9,3300,test,202608191802,0,75.51,100
1-3-5,A,3-4-6,0.006151470067661807,0.029203174014746935,2026-08-19,1.4781982572591321,3,0.21064388633083017,0,0.0019983211753411287,3まくり,240.3,810,test,202608192007,0,63.207666666666675,100
1-3-5,A,3-5-4,0.0053540091146088604,0.025417348720010013,2026-08-19,1.598707121622206,3,0.21064388633083017,0,0.0020117846828703154,3まくり,298.6,810,test,202608192007,0,63.207666666666675,100
1-3-5,A,3-2-1,0.009482088527350184,0.034099379009621185,2026-08-20,1.4972217784685942,3,0.2780721761729092,0,0.003169036191641773,3まくり,157.9,450,test,202608201105,0,73.475,100
1-3-5,A,3-2-4,0.0063753465753659784,0.022926948906249786,2026-08-20,1.9916582701443315,3,0.2780721761729092,0,0.0031845159606433255,3まくり,312.4,450,test,202608201105,0,73.475,100
1-3-5,A,3-2-6,0.004288818571703799,0.015423400610339925,2026-08-20,1.6571994961063476,3,0.2780721761729092,0,0.001705240000275941,3まくり,386.4,450,test,202608201105,0,73.475,100
1-3-5,A,3-4-1,0.017250923743449036,0.062037575930366254,2026-08-20,1.769944776077871,3,0.2780721761729092,0,0.007578196614939676,3まくり,102.6,450,test,202608201105,0,73.475,100
1-3-5,A,3-4-2,0.0070655079358954015,0.025408899348138912,2026-08-20,1.9952994410968612,3,0.2780721761729092,0,0.003536956080656934,3まくり,282.4,450,test,202608201105,0,73.475,100
1-3-5,A,3-4-5,0.00758951463372975,0.027293326280190232,2026-08-20,1.6385762094222531,3,0.2780721761729092,0,0.0029715039991728854,3まくり,215.9,450,test,202608201105,0,73.475,100
1-3-5,A,3-4-6,0.0089835492734661,0.0323065378100972,2026-08-20,1.7589789477446627,3,0.2780721761729092,0,0.0038961958303114098,3まくり,195.8,450,test,202608201105,0,73.475,100
1-3-5,A,3-5-2,0.004553024931938153,0.016373536520629874,2026-08-20,1.4223649887374787,3,0.2780721761729092,0,0.0013563422888165663,3まくり,312.4,450,test,202608201105,0,73.475,100
1-3-5,A,3-5-4,0.007546091517950895,0.027137168564677357,2026-08-20,1.6292011587255983,3,0.2780721761729092,0,0.0029278788214313557,3まくり,215.9,450,test,202608201105,0,73.475,100
1-3-5,A,3-5-6,0.0050803651739969894,0.01826995150653961,2026-08-20,1.4346951251367497,3,0.2780721761729092,0,0.0015447587957951306,3まくり,282.4,450,test,202608201105,0,73.475,100
3-5-1,A,5-1-2,0.02961090919002537,0.2961090919002537,2026-08-20,1.9809698248126975,5,0.1,0,0.014885733305200264,5頭展開,66.9,106480,test,202608201110,0,58.07033333333334,200
3-2-4,A,3-5-1,0.004808871548048756,0.02348455483585992,2026-08-20,1.5095047789325045,3,0.20476741337697457,0,0.0016283310288670646,3まくり,313.9,13640,test,202608201609,0,55.183333333333344,100
