actual_combo,coverage,date,head,head_hit,head_prob,invest,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
1-3-5,0.8595879589572682,2026-08-08,5,0,0.1713673375472605,2000,5頭展開,3460,202608080412,0,54.66966666666666,10.414484703933296,0.1473052999141909,70.7,0,1,1
1-2-5,0.5588754714566815,2026-08-08,5,0,0.2127606005263772,2000,5頭展開,4060,202608081007,0,67.449,9.58387848268281,0.11890668092658574,80.6,0,1,1
3-1-6,0.8201830774893644,2026-08-08,5,0,0.1396842748467142,2000,5頭展開,23420,202608081210,0,35.473000000000006,10.654701093120286,0.11456667842064826,92.99999999999999,0,1,3
2-1-4,0.645539435203383,2026-08-08,5,0,0.17462223089656698,2000,5頭展開,4140,202608081405,0,55.72966666666667,16.074661477367446,0.11272553630692458,142.6,0,1,2
5-1-4,0.6714735271296272,2026-08-08,5,1,0.14903699166893022,2000,5頭展開,2300,202608081603,0,48.084333333333326,1.8413688582245478,0.10007439446872543,18.4,0,1,5
4-6-1,0.7494354935118468,2026-08-08,5,0,0.20749950103933212,2000,5頭展開,49660,202608081612,0,65.855,15.255284863654124,0.15550749096487385,98.1,0,1,4
5-2-1,0.741501331270823,2026-08-08,5,1,0.17437632370247036,2000,5頭展開,17620,202608081710,0,55.60433333333334,9.2708298012093,0.12930027616749373,71.7,0,1,5
4-5-1,0.5688818670409616,2026-08-08,5,0,0.20092962733841901,2000,5頭展開,9490,202608081807,0,60.234,17.6372956842584,0.11430522154412444,154.3,0,1,4
1-3-5,0.6168363698488429,2026-08-08,5,0,0.13765218003646948,2000,5頭展開,1270,202608081808,0,46.658,7.539907747950198,0.0849088710354752,88.8,0,1,1
1-3-5,0.5426008146410122,2026-08-09,3,0,0.1889830566309158,2000,3まくり,1150,202608091208,0,49.29900000000001,1.6162205155483071,0.10254236048128346,15.761491231161076,0,13,1
3-1-4,0.5373135433631215,2026-08-09,3,1,0.18086767758210023,2000,3まくり,1940,202608091311,0,35.296,1.396924953669431,0.0971826527214969,14.374221268405755,0,14,3
