grade,model,lambda,tickets_n,races,base_hits,value_hits,base_hit_rate_pct,value_hit_rate_pct,hit_rate_diff_pt,base_comp_rate_pct,value_comp_rate_pct,comp_rate_diff_pt,base_roi_pct,value_roi_pct,odds_races
A,5頭展開,0.25,3,301,15,10,4.983388704318937,3.3222591362126246,-1.6611295681063125,5.02550442532274,4.104552533262018,-0.9209518920607227,70.81949058693245,44.13067552602436,301
A,5頭展開,0.25,4,301,18,16,5.980066445182724,5.3156146179401995,-0.6644518272425248,6.028899201373211,5.6194010939652514,-0.4094981074079591,73.9202657807309,66.40365448504983,301
A,5頭展開,0.25,5,301,20,17,6.644518272425249,5.647840531561462,-0.9966777408637872,7.053223615590403,6.615490906403872,-0.4377327091865304,90.43853820598007,58.43189368770764,301
A,5頭展開,0.25,6,301,23,19,7.641196013289036,6.312292358803987,-1.3289036544850497,8.01628527651967,7.45543720077673,-0.560848075742939,83.48837209302326,54.584717607973424,301
A,5頭展開,0.25,7,301,26,23,8.637873754152825,7.641196013289036,-0.9966777408637881,8.804568403897933,8.222460859534296,-0.5821075443636374,83.43141907925961,72.71476032273374,301
A,5頭展開,0.25,8,301,26,24,8.637873754152825,7.973421926910299,-0.6644518272425257,9.464013565619421,9.026973060278886,-0.4370405053405353,73.00249169435216,64.95847176079734,301
A,5頭展開,0.25,9,301,27,26,8.970099667774086,8.637873754152825,-0.3322259136212615,10.065222416139992,9.586441842226932,-0.4787805739130597,70.14765596160944,62.281284606866,301
A,5頭展開,0.25,10,301,30,27,9.966777408637874,8.970099667774086,-0.9966777408637881,10.745669952353696,10.277537822434956,-0.46813212991873954,71.96013289036544,59.993355481727576,301
A,5頭展開,0.25,11,301,31,29,10.299003322259136,9.634551495016611,-0.6644518272425248,11.232172641153424,10.79692993846396,-0.4352427026894645,72.05980066445183,65.02567200241619,301
A,5頭展開,0.25,12,301,31,33,10.299003322259136,10.96345514950166,0.6644518272425248,11.693014013939989,11.3586924928254,-0.3343215211145889,66.05481727574751,102.98449612403101,301
A,5頭展開,0.25,13,301,32,34,10.631229235880399,11.295681063122924,0.6644518272425248,12.019209204572359,11.797686819177947,-0.2215223853944117,75.83439815997956,99.11832353692819,301
A,5頭展開,0.25,14,301,33,34,10.96345514950166,11.295681063122924,0.3322259136212633,12.490719519522777,12.187911482763385,-0.3028080367593926,88.27242524916943,92.03844328429047,301
A,5頭展開,0.25,15,301,34,34,11.295681063122924,11.295681063122924,0.0,12.880494100439748,12.614683869089097,-0.26581023135065074,85.90254706533776,85.90254706533776,301
