n,comp_band,month,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
8,3-4,2026-06,11,3,2,27.27272727272727,18.181818181818183,3.4376853530599845,72040.0,-37960.0,65.49090909090908
9,3-4,2026-04,10,4,2,40.0,20.0,3.5703671269965773,78650.0,-21350.0,78.65
9,3-4,2026-05,11,2,2,18.181818181818183,18.181818181818183,3.4303899557911226,66110.0,-43890.0,60.1
9,3-4,2026-06,10,3,3,30.0,30.0,3.4755766232030694,106330.0,6330.0,106.33
10,<3,2026-04,16,2,0,12.5,0.0,2.407001650430238,0.0,-160000.0,0.0
10,<3,2026-05,22,10,8,45.45454545454545,36.36363636363637,2.3277163745333382,188000.0,-32000.0,85.45454545454545
10,<3,2026-06,21,8,5,38.095238095238095,23.809523809523807,2.4293874351541387,122680.0,-87320.0,58.41904761904762
11,<3,2026-04,16,2,0,12.5,0.0,2.30284465825474,0.0,-160000.0,0.0
11,<3,2026-05,24,11,9,45.83333333333333,37.5,2.280692000723014,211760.0,-28240.0,88.23333333333333
11,<3,2026-06,21,8,5,38.095238095238095,23.809523809523807,2.344976066167146,116750.0,-93250.0,55.595238095238095
12,<3,2026-04,18,4,3,22.22222222222222,16.666666666666664,2.2900540312307873,82500.0,-97500.0,45.833333333333336
12,<3,2026-05,27,12,11,44.44444444444444,40.74074074074074,2.2819662165853534,250260.0,-19740.0,92.68888888888888
12,<3,2026-06,24,9,8,37.5,33.33333333333333,2.329681583218544,190340.0,-49660.0,79.30833333333334
13,<3,2026-04,20,6,4,30.0,20.0,2.274541619218422,103060.0,-96940.0,51.53
13,<3,2026-05,28,12,11,42.857142857142854,39.285714285714285,2.2162006550467566,232180.0,-47820.0,82.92142857142858
13,<3,2026-06,27,10,9,37.03703703703704,33.33333333333333,2.338587296552458,215550.0,-54450.0,79.83333333333333
14,<3,2026-04,23,7,5,30.434782608695656,21.73913043478261,2.305438248197812,126890.0,-103110.0,55.1695652173913
14,<3,2026-05,30,13,12,43.333333333333336,40.0,2.2148023276457196,248280.0,-51720.0,82.76
14,<3,2026-06,27,10,9,37.03703703703704,33.33333333333333,2.236507984100789,203540.0,-66460.0,75.38518518518518
15,<3,2026-04,24,7,5,29.166666666666668,20.833333333333336,2.2738053807285508,126890.0,-113110.0,52.87083333333333
15,<3,2026-05,31,13,12,41.935483870967744,38.70967741935484,2.190758774458908,252170.0,-57830.0,81.34516129032258
15,<3,2026-06,28,11,10,39.285714285714285,35.714285714285715,2.2178948778222405,231500.0,-48500.0,82.67857142857143
16,<3,2026-04,24,7,6,29.166666666666668,25.0,2.2317236484655822,141810.0,-98190.0,59.0875
16,<3,2026-05,31,13,12,41.935483870967744,38.70967741935484,2.1201341214693477,228390.0,-81610.0,73.6741935483871
16,<3,2026-06,30,11,10,36.666666666666664,33.33333333333333,2.2316753357047223,231500.0,-68500.0,77.16666666666667
17,<3,2026-04,24,7,7,29.166666666666668,29.166666666666668,2.1878965709541096,165820.0,-74180.0,69.09166666666667
17,<3,2026-05,31,13,13,41.935483870967744,41.935483870967744,2.0836851356650516,252120.0,-57880.0,81.32903225806452
17,<3,2026-06,31,12,11,38.70967741935484,35.483870967741936,2.2074245721985806,258420.0,-51580.0,83.36129032258064
18,<3,2026-04,25,8,8,32.0,32.0,2.1881336942700638,194640.0,-55360.0,77.856
18,<3,2026-05,32,14,14,43.75,43.75,2.0720006188586675,277830.0,-42170.0,86.821875
18,<3,2026-06,31,12,12,38.70967741935484,38.70967741935484,2.1577502427518724,267300.0,-42700.0,86.2258064516129
19,<3,2026-04,25,8,8,32.0,32.0,2.1535775550319105,180630.0,-69370.0,72.252
19,<3,2026-05,33,15,15,45.45454545454545,45.45454545454545,2.0675029405190255,297370.0,-32630.0,90.11212121212121
19,<3,2026-06,31,12,12,38.70967741935484,38.70967741935484,2.131952599576695,262650.0,-47350.0,84.7258064516129
20,<3,2026-04,26,8,8,30.76923076923077,30.76923076923077,2.1641535536409036,185020.0,-74980.0,71.16153846153846
20,<3,2026-05,34,15,15,44.11764705882353,44.11764705882353,2.0738476430098673,304590.0,-35410.0,89.58529411764705
20,<3,2026-06,31,12,12,38.70967741935484,38.70967741935484,2.1019814275488162,260350.0,-49650.0,83.98387096774194
2,8-10,2026-04,6,2,1,33.33333333333333,16.666666666666664,8.897833733238722,94320.0,34320.0,157.2
2,8-10,2026-05,5,2,1,40.0,20.0,9.10294426431721,93100.0,43100.0,186.2
2,8-10,2026-06,6,1,1,16.666666666666664,16.666666666666664,8.695692824976648,88550.00000000001,28550.000000000015,147.58333333333337
4,8-10,2026-04,7,6,4,85.71428571428571,57.14285714285714,8.824420211901055,352070.0,282070.0,502.95714285714286
4,8-10,2026-05,3,1,1,33.33333333333333,33.33333333333333,8.890742064459415,87400.0,57400.0,291.3333333333333
4,8-10,2026-06,3,2,0,66.66666666666666,0.0,8.528198004016863,0.0,-30000.0,0.0
6,5-6,2026-04,6,5,4,83.33333333333334,66.66666666666666,5.441070147561605,221010.0,161010.0,368.35
6,5-6,2026-05,2,0,0,0.0,0.0,5.538580945963462,0.0,-20000.0,0.0
6,5-6,2026-06,1,1,1,100.0,100.0,5.332584817289271,53480.00000000001,43480.00000000001,534.8000000000001
7,4-5,2026-04,8,4,3,50.0,37.5,4.413370173074161,135050.0,55050.0,168.8125
7,4-5,2026-05,3,2,1,66.66666666666666,33.33333333333333,4.395385701114514,42420.0,12420.0,141.4
7,4-5,2026-06,8,3,3,37.5,37.5,4.382792134763567,134920.0,54920.0,168.65
10,3-4,2026-04,10,5,3,50.0,30.0,3.5260527642878734,104880.0,4880.0,104.88
10,3-4,2026-05,10,3,1,30.0,10.0,3.425068530234504,31290.0,-68710.0,31.29
