date,month,race_code,venue,race,legacy_pre_p,hybrid_pre_p,hybrid_abs_threshold,p109,entry_course,head_hit,rank_l50,payout100
2026-04-20,2026-04,202604200909,09,09R,0.5027511770750354,0.5027511770750354,0.75,0.6140626134085427,0,1,4,1590
2026-04-20,2026-04,202604200910,09,10R,0.687243156551906,0.687243156551906,0.75,0.6112348043176205,0,1,4,760
2026-04-20,2026-04,202604200911,09,11R,0.6765322214295066,0.6765322214295066,0.75,0.6460759709928052,0,0,0,32780
2026-04-20,2026-04,202604200912,09,12R,0.7945186923195943,0.7945186923195943,0.75,0.775666472520462,0,0,0,29460
2026-04-20,2026-04,202604201101,11,01R,0.43985234429128467,0.4398523442912847,0.75,0.6064206652926323,1,1,4,860
2026-04-20,2026-04,202604201102,11,02R,0.5520160916970854,0.5520160916970854,0.75,0.6353434781676681,1,1,3,1040
2026-04-20,2026-04,202604201103,11,03R,0.5246513191297894,0.5246513191297894,0.75,0.6355145247292033,1,1,4,1050
2026-04-20,2026-04,202604201104,11,04R,0.4528590716252718,0.4528590716252718,0.75,0.43692665422680965,1,1,2,810
2026-04-20,2026-04,202604201105,11,05R,0.41750991588880565,0.4175099158888056,0.75,0.4394260250374988,1,0,0,3810
2026-04-20,2026-04,202604201106,11,06R,0.6751664223099412,0.6751664223099412,0.75,0.8091735830454125,1,1,10,1890
2026-04-20,2026-04,202604201107,11,07R,0.5371257582664563,0.5371257582664563,0.75,0.48550819327047273,1,1,2,1190
2026-04-20,2026-04,202604201108,11,08R,0.6229218786044272,0.6229218786044272,0.75,0.7691748893926589,1,0,0,6680
2026-04-20,2026-04,202604201109,11,09R,0.5584546653882283,0.5584546653882283,0.75,0.7120647954179071,1,1,5,900
2026-04-20,2026-04,202604201110,11,10R,0.54736721406269,0.54736721406269,0.75,0.60284134555434,1,1,14,7820
2026-04-20,2026-04,202604201111,11,11R,0.535267988282284,0.535267988282284,0.75,0.6117325080820741,1,1,8,1560
2026-04-20,2026-04,202604201112,11,12R,0.7231741240229933,0.7231741240229932,0.75,0.6726601390034935,1,1,7,1200
2026-04-20,2026-04,202604201201,12,01R,0.21568232916035793,0.2156823291603579,0.75,0.276800690302102,0,0,0,2170
2026-04-20,2026-04,202604201202,12,02R,0.16105385946774892,0.1610538594677489,0.75,0.24264195541810443,0,0,0,2210
2026-04-20,2026-04,202604201203,12,03R,0.36840579505530996,0.3684057950553099,0.75,0.45625435954123095,0,1,10,41780
2026-04-20,2026-04,202604201204,12,04R,0.6598915382921778,0.6598915382921778,0.75,0.8090148925892252,0,1,8,1530
2026-04-20,2026-04,202604201205,12,05R,0.6225229050611946,0.6225229050611946,0.75,0.7113198771179629,0,1,3,2760
2026-04-20,2026-04,202604201206,12,06R,0.26085169911962347,0.2608516991196234,0.75,0.24143038811692955,0,0,0,12720
2026-04-20,2026-04,202604201207,12,07R,0.5711283370258307,0.5711283370258307,0.75,0.7129731261147367,0,0,0,4940
2026-04-20,2026-04,202604201208,12,08R,0.5648003431245506,0.5648003431245505,0.75,0.644529338250549,0,0,0,4730
2026-04-20,2026-04,202604201209,12,09R,0.3421992708467191,0.34219927084671914,0.75,0.46070805939813814,0,0,0,28250
2026-04-20,2026-04,202604201210,12,10R,0.5332340517598829,0.5332340517598829,0.75,0.708137706714408,0,0,0,27090
2026-04-20,2026-04,202604201211,12,11R,0.6502942568465432,0.6502942568465432,0.75,0.7051116866039862,0,1,2,1700
2026-04-20,2026-04,202604201212,12,12R,0.6532984068772808,0.6532984068772808,0.75,0.638598113319188,0,1,1,800
2026-04-20,2026-04,202604201301,13,01R,0.40175237690350896,0.40175237690350896,0.75,0.43296409241721645,1,0,0,41960
2026-04-20,2026-04,202604201302,13,02R,0.3514249617005961,0.3514249617005961,0.75,0.5398213094417231,1,1,1,770
2026-04-20,2026-04,202604201303,13,03R,0.4364234880909593,0.43642348809095943,0.75,0.5481481086812982,1,1,3,970
2026-04-20,2026-04,202604201304,13,04R,0.4156319534438527,0.4156319534438527,0.75,0.46694890846360326,1,1,6,860
2026-04-20,2026-04,202604201305,13,05R,0.6043836714555398,0.6043836714555398,0.75,0.6629107495184574,1,0,0,9960
2026-04-20,2026-04,202604201306,13,06R,0.7780691280583566,0.7780691280583564,0.75,0.9053033127214337,1,1,2,650
2026-04-20,2026-04,202604201307,13,07R,0.3395808394361698,0.33958083943616973,0.75,0.29538486773452227,1,0,0,3010
2026-04-20,2026-04,202604201308,13,08R,0.2620138665887484,0.26201386658874837,0.75,0.24878902682415266,1,1,1,1950
2026-04-20,2026-04,202604201309,13,09R,0.7564228523485098,0.7564228523485098,0.75,0.8731487398008377,1,1,17,9540
2026-04-20,2026-04,202604201310,13,10R,0.576264320276481,0.576264320276481,0.75,0.6503523239920286,1,1,6,1990
2026-04-20,2026-04,202604201311,13,11R,0.689290649518581,0.689290649518581,0.75,0.7805623712925486,1,1,4,1230
2026-04-20,2026-04,202604201312,13,12R,0.6911263531961753,0.6911263531961753,0.75,0.7281327842343172,1,0,0,2840
2026-04-20,2026-04,202604201501,15,01R,0.34022844441255484,0.34022844441255495,0.75,0.41259117715185867,1,0,0,2400
2026-04-20,2026-04,202604201502,15,02R,0.4954973511768941,0.4954973511768941,0.75,0.6147173993375157,1,0,0,2110
2026-04-20,2026-04,202604201503,15,03R,0.4886001355014089,0.4886001355014089,0.75,0.43548593666937296,1,1,4,1720
