actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_return,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
5-1-6,0.5011052552716766,2026-08-18,3,0,0.22264593846842823,2000,0,0,0,3まくり,8020,202608180506,0,61.915666666666674,1.6041341469092048,0.11156904983142373,14.37794934467028,0,10,5
3-2-5,0.514654428293201,2026-08-18,3,1,0.2235938430472002,2000,0,0,0,3まくり差し,4080,202608181101,0,58.57,1.7045080907096495,0.11507356146333653,14.81233455395157,0,10,3
3-5-4,0.5261017745853739,2026-08-18,3,1,0.21880373958520127,2000,0,0,0,3まくり,2260,202608181103,0,52.26033333333334,1.3043925058699994,0.11511303568169041,11.331405675695102,0,12,3
6-5-1,0.5440651854290627,2026-08-18,3,0,0.16022022550348897,2000,0,0,0,3まくり,6970,202608181307,0,45.552,2.5148296813377744,0.08717024669804196,28.849633637600604,0,10,6
3-1-6,0.5456635726643382,2026-08-18,3,1,0.22285158369357086,2000,0,0,0,3まくり,1260,202608181606,0,57.436,1.8494771770749796,0.12160199133213964,15.209267190562521,0,12,3
6-3-2,0.5254713099363002,2026-08-18,3,0,0.19632131834103006,2000,0,0,0,3まくり,6710,202608181608,0,32.97200000000001,1.3721568552460124,0.10316122031708247,13.30109173804332,0,10,6
3-1-6,0.5444483830326831,2026-08-18,3,1,0.2799408936734268,2000,0,0,0,3まくり,680,202608182001,0,70.63000000000001,1.3876812606674536,0.15241336690522148,9.104721513897044,0,10,3
1-4-5,0.5711561120716419,2026-08-18,5,0,0.1874080521902729,2000,0,0,0,5頭展開,1710,202608181204,0,66.193,1.5509794498459888,0.10703925445991562,14.489819250626454,0,13,1
1-6-4,0.5733732022593574,2026-08-18,5,0,0.14809601769633707,2000,0,0,0,5頭展開,5060,202608182006,0,46.688,2.5075699383113133,0.08491428790840724,29.53060079849109,0,10,1
1-5-6,0.5605898802275452,2026-08-18,5,0,0.12689383036172708,2000,0,0,0,5頭展開,1610,202608182010,0,36.970666666666666,2.6704532114203183,0.07113539716409502,37.54042738048009,0,11,1
1-4-5,0.5019688807786177,2026-08-18,5,0,0.1740564808981441,2000,0,0,0,5頭展開,1170,202608182011,0,63.982666666666674,3.409335716911145,0.08737093690870625,39.02139358392774,0,12,1
4-2-5,0.502048204833671,2026-08-19,3,0,0.25237330977175276,2000,0,0,0,3まくり,40070,202608190509,0,66.98233333333334,1.9810967015125205,0.12670356711884043,15.635682140301302,0,13,4
1-6-5,0.5655307692290202,2026-08-19,3,0,0.23022111564435252,2000,0,0,0,3まくり,2000,202608190909,0,56.937,2.120737049659034,0.13019712462311392,16.288662716615317,0,13,1
1-2-5,0.5632467796356849,2026-08-19,3,0,0.2345983532064823,2000,0,0,0,3まくり,1220,202608191008,0,55.711333333333336,2.1922178702534256,0.13213676695138613,16.590521478854974,0,10,1
1-3-6,0.5650628376616245,2026-08-19,3,0,0.24796602985420865,2000,0,0,0,3まくり,480,202608191105,0,66.20400000000001,3.1239917799012873,0.14011638847310623,22.295691560026917,0,11,1
1-3-5,0.5879364225456917,2026-08-19,3,0,0.22803194012618366,2000,0,0,0,3まくり,810,202608192007,0,63.207666666666675,1.509882845272008,0.13406828310394178,11.262043567018837,0,14,1
4-5-2,0.5139950403482052,2026-08-19,5,0,0.14863447090074047,2000,0,0,0,5頭展開,700,202608191004,0,52.78766666666667,2.0059913616061573,0.07639738086776023,26.25733158416021,0,12,4
1-5-4,0.523378803711317,2026-08-19,5,0,0.14584378724132477,2000,0,0,0,5頭展開,2740,202608191104,0,53.998333333333335,2.4516040154246954,0.07633154689509239,32.117834829079264,0,12,1
5-1-4,0.5130799918897289,2026-08-19,5,1,0.23360384342929005,2000,0,0,0,5頭展開,3300,202608191802,0,75.51,3.9343971168946075,0.11985745809210963,32.825634545587064,0,12,5
1-2-4,0.5741019827167593,2026-08-19,5,0,0.14477116806513965,2000,0,0,0,5頭展開,710,202608191905,0,46.25,3.4861060097662895,0.08311341462641786,41.943963263160406,0,12,1
3-4-5,0.5394715187863626,2026-08-19,5,0,0.1356648139589359,2000,0,0,0,5頭展開,4860,202608192003,0,44.55466666666667,2.078609934515877,0.07318730323229647,28.40123686369984,0,9,3
1-3-5,0.5045192457889001,2026-08-20,3,0,0.3006880895819004,2000,0,0,0,3まくり,450,202608201105,0,73.475,2.8299286900679506,0.15170292817356562,18.65441045956731,0,13,1
3-4-2,0.5094783805990448,2026-08-20,3,1,0.2212588398841845,2000,0,0,0,3まくり,6850,202608201608,0,52.108666666666686,2.9865955233600867,0.11272659543741766,26.494151728534664,0,11,3
3-2-4,0.5174629271855584,2026-08-20,3,1,0.23336881216117114,2000,0,0,0,3まくり,13640,202608201609,0,55.183333333333344,2.4465022364540605,0.12075970865473636,20.25925918262064,0,12,3
1-3-6,0.5204450624920562,2026-08-20,3,0,0.1721546756768212,2000,0,0,0,3まくり,1290,202608201902,0,24.181333333333328,1.62949392941378,0.08959705094092288,18.186914773436133,0,8,1
3-4-6,0.5187208248570948,2026-08-20,3,1,0.2324594335731523,2000,0,0,0,3まくり差し,350,202608202402,0,55.912000000000006,1.5272085502963522,0.1205815491288786,12.665358517363702,0,10,3
2-1-3,0.5630447362722022,2026-08-20,5,0,0.1507057676044633,2000,0,0,0,5頭展開,5260,202608200912,0,48.50666666666667,2.392054291743945,0.08485408917555483,28.1902064471521,0,11,2
3-5-1,0.5511640566661814,2026-08-20,5,0,0.14422836483500237,2000,0,0,0,5頭展開,106480,202608201110,0,58.07033333333334,2.2933292560446543,0.07949349064878994,28.849271019897824,0,13,3
4-6-5,0.5165089581812164,2026-08-20,5,0,0.12014611973741016,2000,0,0,0,5頭展開,5220,202608201305,0,41.655,2.5694187041477656,0.062056547135085405,41.40447418955853,0,9,4
1-2-4,0.5579818027760323,2026-08-20,5,0,0.12210201521255894,2000,0,0,0,5頭展開,650,202608201612,0,40.703,3.0301337489772595,0.06813070257089016,44.475304593026884,0,12,1
1-2-5,0.5326264162896535,2026-08-20,5,0,0.16703095054150827,2000,0,0,0,5頭展開,630,202608201803,0,63.922000000000004,2.3071295369778655,0.0889650965963779,25.932974000410372,0,13,1
1-2-4,0.5132351560536903,2026-08-20,5,0,0.165081772486595,2000,0,0,0,5頭展開,1180,202608201906,0,61.67266666666668,2.5546875354400798,0.08472576926377738,30.15242655969935,0,9,1
1-2-3,0.53558645821376,2026-08-20,5,0,0.1194547232582939,2000,0,0,0,5頭展開,3130,202608202012,0,34.986666666666665,2.4498372632361693,0.06397833214681449,38.29167127418072,0,8,1
1-3-4,0.5249229644730499,2026-08-21,3,0,0.18888923872030036,2000,0,0,0,3まくり,430,202608210707,0,36.31766666666666,1.7995085275448286,0.09915229914611766,18.148933943457518,0,13,1
1-6-2,0.5366786230053211,2026-08-21,5,0,0.1381572133241594,2000,0,0,0,5頭展開,1890,202608210211,0,54.915666666666674,1.878381821924248,0.07414602300506226,25.33354785321396,0,11,1
5-3-1,0.5342030179203071,2026-08-21,5,1,0.13720517842658625,2000,0,0,0,5頭展開,17490,202608210310,0,53.821000000000005,1.8853698492939148,0.07329542038977659,25.722887450099005,0,10,5
4-3-5,0.5235438295864747,2026-08-21,5,0,0.13817379184316733,2000,0,0,0,5頭展開,70070,202608211311,0,57.619,4.992418838064661,0.07234003613005623,69.01322013565299,0,11,4
3-6-5,0.533255770974775,2026-08-21,5,0,0.22615726062729388,2000,0,900,0,5頭展開,14490,202608212106,0,71.664,3.4726460214898687,0.12059966437735072,28.79482326438423,0,9,3
1-3-6,0.5127751608524237,2026-08-22,3,0,0.32180860471678535,2000,0,1000,0,3まくり,620,202608222406,0,84.11333333333334,2.373301945742072,0.16501545904734363,14.382300661062073,0,10,1
4-5-6,0.5331580414168201,2026-08-22,5,0,0.1426253991966161,2000,0,0,0,5頭展開,7830,202608220205,0,58.01833333333335,1.880282569305834,0.07604187849195995,24.726934770616428,0,11,4
4-5-6,0.5588499489360594,2026-08-22,5,0,0.18171587423582675,2000,0,0,0,5頭展開,930,202608220206,0,67.14366666666666,1.7670125474216938,0.10155190703756317,17.40009221853501,0,9,4
1-4-3,0.5115853903876717,2026-08-22,5,0,0.11349851675957982,2000,0,0,0,5頭展開,1610,202608221605,0,33.723,2.7305216931964975,0.058064183004871345,47.02592117704331,0,12,1
1-3-4,0.521396333494671,2026-08-22,5,0,0.12271128572445084,2000,0,0,0,5頭展開,1220,202608222012,0,43.462666666666664,1.564767513245716,0.06398121445514562,24.4566710177517,0,12,1
4-6-1,0.5419270454273809,2026-08-22,5,0,0.1460671397162509,2000,0,0,0,5頭展開,8170,202608222212,0,53.70400000000001,2.7442659921545145,0.07915773346045629,34.668324523534125,0,9,4
4-1-2,0.527312285285893,2026-08-22,5,0,0.1563875399556507,2000,0,0,0,5頭展開,1760,202608222306,0,61.113666666666674,2.6263442231763747,0.08246507108425306,31.847959246807495,0,11,4
3-1-5,0.5288020065123886,2026-08-23,3,1,0.31244487908033947,2000,0,900,0,3まくり,1780,202608230303,0,75.05999999999999,2.2259856324724665,0.16522147898220416,13.472737601581604,0,8,3
