actual_combo,combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,payout100,race,race_code,return,stake,train_pair_count,venue
1-3-5,3-1-5,0.003013558595054349,2026-08-29,0.25344027784407075,0,0.12144850540906131,3まくり,84.1,0.06958741478492157,0,12R,202608290512,0,300,19,05
1-3-5,3-4-1,0.0027952486577008085,2026-08-29,0.43522021600401584,0,0.06559935327490081,3まくり,155.7,0.06454632343623416,0,12R,202608290512,0,300,18,05
1-3-5,3-5-2,0.0027441273906861348,2026-08-29,1.205495162728419,0,0.023250214670844652,3まくり,439.3,0.06336585964239289,0,12R,202608290512,0,300,18,05
1-3-5,3-2-4,0.002742610460807841,2026-08-29,1.2736682979991614,0,0.021993581621236123,3まくり,464.4,0.0633308315434491,0,12R,202608290512,0,300,18,05
1-3-5,3-2-1,0.0026134063299857557,2026-08-29,0.6679866579443592,0,0.03996016942449943,3まくり,255.6,0.06034732179580486,0,12R,202608290512,0,300,17,05
1-3-5,3-4-5,0.00247191797799111,2026-08-29,0.5287432554922985,0,0.04775044088313256,3まくり,213.9,0.05708015166224759,0,12R,202608290512,0,300,16,05
1-3-5,3-1-2,0.002357502567978141,2026-08-29,0.3088328364051365,0,0.07796808629696225,3まくり,131.0,0.05443813480967142,0,12R,202608290512,0,300,15,05
1-3-5,3-5-1,0.0023284132736613684,2026-08-29,0.44146715668619546,0,0.05387035498366063,3まくり,189.6,0.05376642104484071,0,12R,202608290512,0,300,15,05
1-3-5,3-1-4,0.0022818531779102333,2026-08-29,0.166118911351865,0,0.14029971572667657,3まくり,72.8,0.052691281274611194,0,12R,202608290512,0,200,14,05
1-3-5,3-6-1,0.0020217729494311494,2026-08-29,0.41426127733844254,0,0.04984782481650588,3まくり,204.9,0.04668565365342177,0,12R,202608290512,0,200,13,05
1-3-5,3-1-6,0.0019511344649769974,2026-08-29,0.17130960602498038,0,0.11633051600116237,3まくり,87.8,0.04505450915682682,0,12R,202608290512,0,200,12,05
1-3-5,3-5-4,0.0017011615435264748,2026-08-29,0.5072863722795947,0,0.03425157379242809,3まくり,298.2,0.039282273833935274,0,12R,202608290512,0,200,11,05
1-3-5,3-2-6,0.0015442104843793787,2026-08-29,0.5395471432421549,0,0.02923245364883244,3まくり,349.4,0.035658047488469194,0,12R,202608290512,0,200,10,05
1-3-5,3-2-5,0.00138844373659046,2026-08-29,0.5628750908137724,0,0.025194423544405663,3まくり,405.4,0.032061168600540924,0,12R,202608290512,0,200,9,05
1-3-5,3-6-4,0.0013825668864300192,2026-08-29,0.6947398604310847,0,0.020326008566969263,3まくり,502.5,0.03192546365343468,0,12R,202608290512,0,200,9,05
1-3-5,3-5-6,0.0012479779530197553,2026-08-29,0.3767645440166641,0,0.03383179630639966,3まくり,301.9,0.028817611046868283,0,12R,202608290512,0,200,8,05
1-3-5,3-6-2,0.0010759071355705104,2026-08-29,0.6747013647162671,0,0.016287385273324916,3まくり,627.1,0.02484424767312404,0,12R,202608290512,0,200,7,05
1-3-5,3-6-5,0.0009290460595494774,2026-08-29,0.48347556938954805,0,0.019626862615107717,3まくり,520.4,0.021453013592058753,0,12R,202608290512,0,200,6,05
,3-4-2,0.0030814809928712203,2026-08-29,0.7016532220767768,0,0.020727127106076413,3まくり,227.7,0.08071713246288714,0,10R,202608291110,0,400,23,11
,3-4-6,0.002829780969047852,2026-08-29,0.39050977372860357,0,0.03419975972502608,3まくり,138.0,0.07412403511428645,0,10R,202608291110,0,400,21,11
,3-1-5,0.0026019762736139503,2026-08-29,0.17511300321421885,0,0.07012729334403565,3まくり,67.3,0.06815685835105326,0,10R,202608291110,0,400,19,11
,3-4-1,0.0024300018931778244,2026-08-29,0.3421442665594377,0,0.033519650866857945,3まくり,140.8,0.0636521157036058,0,10R,202608291110,0,300,18,11
,3-2-4,0.0024200743015225365,2026-08-29,0.47215649622704686,0,0.024190501496943104,3まくり,195.1,0.06339206972813778,0,10R,202608291110,0,300,18,11
,3-5-2,0.00241859443227135,2026-08-29,0.5006490474801694,0,0.022799839816684053,3まくり,207.0,0.06335330563948946,0,10R,202608291110,0,300,18,11
,3-2-1,0.0022888935783277778,2026-08-29,0.4168075206134883,0,0.02591744559062932,3まくり,182.1,0.05995588698510466,0,10R,202608291110,0,300,17,11
,3-4-5,0.002151829894714697,2026-08-29,0.45920049953211634,0,0.022116058303906273,3まくり,213.4,0.05636560441265244,0,10R,202608291110,0,300,16,11
,3-1-2,0.0020496896517903825,2026-08-29,0.1891863548602523,0,0.051132901864069324,3まくり,92.3,0.05369011573140263,0,10R,202608291110,0,300,15,11
