actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return,score,stake
3-2-5,A,5-1-2,0.08275104358457458,0.8275104358457457,2026-08-24,6.396655669087615,5,0.1,0,0.07072943209813387,5頭展開,77.3,17080,test,202608241911,0,62.04466666666667,300
3-2-5,A,5-1-6,0.013538060618609977,0.13538060618609976,2026-08-24,2.929636317867199,5,0.1,0,0.008958385876820794,5頭展開,216.4,17080,test,202608241911,0,62.04466666666667,100
6-4-2,A,5-1-2,0.04512405724654394,0.45124057246543936,2026-08-24,17.765341337964347,5,0.1,0,0.042692491311342874,5頭展開,393.7,6600,test,202608242009,0,56.48933333333333,300
6-4-2,A,5-1-6,0.04940619691200248,0.49406196912002476,2026-08-24,13.893022571655097,5,0.1,0,0.0460136422971274,5頭展開,281.2,6600,test,202608242009,0,56.48933333333333,300
3-1-5,A,5-1-2,0.0640433680169515,0.640433680169515,2026-08-25,9.292692699259662,5,0.1,0,0.05754817973115658,5頭展開,145.1,9820,test,202608250107,0,61.19633333333333,300
3-1-5,A,5-1-6,0.028359465596686464,0.2835946559668646,2026-08-25,5.564127150069884,5,0.1,0,0.02338179892453834,5頭展開,196.2,9820,test,202608250107,0,61.19633333333333,200
6-1-2,A,5-1-2,0.04720974311457485,0.4720974311457484,2026-08-25,2.181090131893358,5,0.1,0,0.026130312652507922,5頭展開,46.2,8670,test,202608250605,0,63.69700000000002,200
5-1-4,A,5-1-2,0.06754521990413219,0.6754521990413218,2026-08-25,3.0665529836476013,5,0.1,0,0.04654398611818922,5頭展開,45.4,3150,test,202608251505,0,71.295,300
5-1-4,A,5-1-6,0.02152703604774349,0.21527036047743486,2026-08-25,3.833965120103115,5,0.1,0,0.016002061660661294,5頭展開,178.1,3150,test,202608251505,0,71.295,100
1-3-4,A,3-4-2,0.011014369744130325,0.04997113084657864,2026-08-26,1.2082763609310967,3,0.22041465857450054,0,0.0019160658779309723,3まくり,109.7,1290,test,202608260606,0,64.83066666666667,100
1-3-4,A,3-4-6,0.024364505408184595,0.11053940588960126,2026-08-26,1.167059809052042,3,0.22041465857450054,0,0.0035620428369305354,3まくり,47.9,1290,test,202608260606,0,64.83066666666667,100
3-4-2,A,3-1-2,0.026597084786657496,0.08661181742878603,2026-08-26,1.5665682939341266,3,0.30708378574928474,0,0.00978529005067576,3まくり差し,58.9,4720,test,202608260904,0,90.783,100
3-4-2,A,3-1-4,0.03836537166942126,0.12493454050597205,2026-08-26,1.4885764207735446,3,0.30708378574928474,0,0.01292530213686626,3まくり差し,38.8,4720,test,202608260904,0,90.783,100
3-4-2,A,3-1-6,0.020139903761466623,0.0655843932375825,2026-08-26,1.5588285511375168,3,0.30708378574928474,0,0.00731450983164289,3まくり差し,77.4,4720,test,202608260904,0,90.783,100
5-4-3,A,3-4-2,0.011774654893900277,0.05751125136407712,2026-08-26,1.149206317644667,3,0.20473654484338005,0,0.0015445788576052481,3まくり,97.6,5740,test,202608261102,0,55.771,100
5-4-3,A,3-4-6,0.019201139928735726,0.09378462425173908,2026-08-26,1.2211924994675922,3,0.20473654484338005,0,0.0035334265090669684,3まくり,63.6,5740,test,202608261102,0,55.771,100
1-5-4,A,5-1-2,0.07272457991457387,0.7272457991457387,2026-08-26,3.1126120203437617,5,0.1,0,0.05054095742449191,5頭展開,42.8,620,test,202608261403,0,71.60966666666667,300
3-2-4,A,3-2-1,0.011186155306612804,0.04326744096622675,2026-08-26,1.1868510780316184,3,0.2585351723330339,0,0.0017778408946871398,3まくり,106.1,10940,test,202608261806,0,70.999,100
3-2-4,A,3-2-4,0.01647880348595481,0.0637391165668071,2026-08-26,1.496275356524697,3,0.2585351723330339,1,0.005526451631678139,3まくり,90.8,10940,test,202608261806,10940,70.999,100
3-2-4,A,3-2-5,0.006682975746551103,0.025849387092068,2026-08-26,1.5551284562224417,3,0.2585351723330339,0,0.002395893207692886,3まくり,232.7,10940,test,202608261806,0,70.999,100
3-2-4,A,3-2-6,0.010802065632986033,0.04178180297677747,2026-08-26,1.1644626752358944,3,0.2585351723330339,0,0.0015399126894746669,3まくり,107.8,10940,test,202608261806,0,70.999,100
3-2-4,A,3-4-1,0.026076764838565445,0.10086350960779324,2026-08-26,1.6793436556036148,3,0.2585351723330339,0,0.01071519961519897,3まくり,64.4,10940,test,202608261806,0,70.999,100
3-2-4,A,3-4-2,0.018520850993870835,0.07163764538007644,2026-08-26,2.5058711394707243,3,0.2585351723330339,0,0.011212741172529591,3まくり,135.3,10940,test,202608261806,0,70.999,100
3-2-4,A,3-4-5,0.015579113840984114,0.060259165901480394,2026-08-26,4.493016431739818,3,0.2585351723330339,0,0.01215384979728538,3まくり,288.4,10940,test,202608261806,0,70.999,100
3-2-4,A,3-4-6,0.025181388740026414,0.09740024350570309,2026-08-26,2.5105844573806335,3,0.2585351723330339,0,0.015304807065659913,3まくり,99.7,10940,test,202608261806,0,70.999,100
